Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
P IS FOR PTERODACTYL,Raj Haldar and Chris Carpenter,Sourcebooks Jabberwocky,Sourcebooks,9.78E+12,Picture Books,1/20/19,5
DRAGONS LOVE TACOS,Adam Rubin.,Dial,Penguin Random House,9.78E+12,Picture Books,1/20/19,253
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,Penguin Random House,9.78E+12,Picture Books,1/20/19,166
THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,Penguin Random House,9.78E+12,Picture Books,1/20/19,257
"ROSIE REVERE, ENGINEER",Andrea Beaty,Abrams,Abrams,9.78E+12,Picture Books,1/20/19,147
A DAY IN THE LIFE OF MARLON BUNDO,Marlon Bundo with Jill Twiss,Chronicle,McEvoy,9.78E+12,Picture Books,1/20/19,30
THE SNOWY NAP,Jan Brett,Putnam,Penguin Random House,9.78E+12,Picture Books,1/20/19,5
GRUMPY MONKEY,Suzanne Lang.,Random House,Penguin Random House,9.78E+12,Picture Books,1/20/19,4
DINOSAURS,Dan Kainen and Kathy Wollard,Workman,Hachette Book,9.78E+12,Picture Books,1/20/19,3
THE BOOK WITH NO PICTURES,B.J. Novak,Dial,Penguin Random House,9.78E+12,Picture Books,1/20/19,150
DOG MAN,Dav Pilkey,Scholastic,Scholastic,9.78E+12,Series Books,1/20/19,71
DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,Abrams,9.78E+12,Series Books,1/20/19,512
HARRY POTTER,J.K. Rowling,Scholastic,Scholastic,9.78E+12,Series Books,1/20/19,511
TO ALL THE BOYS I'VE LOVED BEFORE,Jenny Han,Simon & Schuster,Simon & Schuster,9.78E+12,Series Books,1/20/19,25
WINGS OF FIRE,Tui T. Sutherland,Scholastic,Scholastic,9.78E+12,Series Books,1/20/19,36
CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,Scholastic,9.78E+12,Series Books,1/20/19,152
DARK ARTIFICES,Cassandra Clare,Margaret K. McElderry,Simon & Schuster,9.78E+12,Series Books,1/20/19,5
DORK DIARIES,Rachel Ren√©e Russell,Simon & Schuster,Simon & Schuster,9.78E+12,Series Books,1/20/19,273
THE BAD GUYS,Aaron Blabey,Scholastic,Scholastic,9.78E+12,Series Books,1/20/19,22
THRONE OF GLASS,Sarah J. Maas,Bloomsbury,Bloomsbury Publishing,9.78E+12,Series Books,1/20/19,27
"THE FORK, THE WITCH, AND THE WORM",Christopher Paolini with Angela Paolini,Knopf,Penguin Random House,9.78E+12,Young Adult Hardcover,1/20/19,1
THE HATE U GIVE,Angie Thomas,Balzer & Bray,HarperCollins,9.78E+12,Young Adult Hardcover,1/20/19,97
DEAR EVAN HANSEN: THE NOVEL,"Val Emmich with Steven Levenson, Benj Pasek & Justin Paul",Poppy,Poppy,9.78E+12,Young Adult Hardcover,1/20/19,13
ONE OF US IS LYING,Karen M. McManus,Delacorte,Penguin Random House,9.78E+12,Young Adult Hardcover,1/20/19,72
FIVE FEET APART,Rachael Lippincott with Mikki Daughtry and Tobias Iaconis,Simon & Schuster,Simon & Schuster,9.78E+12,Young Adult Hardcover,1/20/19,5
CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,Macmillan Publishers,9.78E+12,Young Adult Hardcover,1/20/19,44
WHAT IF IT'S US,Becky Albertalli and Adam Silvera,Balzer & Bray,HarperCollins,9.78E+12,Young Adult Hardcover,1/20/19,13
EVERMORE,Sara Holland,HarperTeen,HarperCollins,9.78E+12,Young Adult Hardcover,1/20/19,1
