Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Parent Group
THE HIGH KING OF MONTIVAL,S M Stirling,Roc,451463528,9.78045E+12,Hardcover Fiction,9/26/10,1,
SPIDER BONES,Kathy Reichs,Scribner,1439102392,9.78144E+12,Hardcover Fiction,9/26/10,3,Simon & Schuster
STAR ISLAND,Carl Hiaasen,Knopf,307272583,9.78031E+12,Hardcover Fiction,9/26/10,7,Penguin Random House
THE COBRA,Frederick Forsyth,Putnam,399156801,9.7804E+12,Hardcover Fiction,9/26/10,4,Penguin Random House
THE RED QUEEN,Philippa Gregory,Touchstone/Simon & Schuster,1416563725,9.78142E+12,Hardcover Fiction,9/26/10,0,
DEXTER IS DELICIOUS,Jeff Lindsay,Doubleday,385532350,9.78039E+12,Hardcover Fiction,9/26/10,0,Penguin Random House
TOUGH CUSTOMER,Sandra Brown,Simon & Schuster,1416563105,9.78142E+12,Hardcover Fiction,9/26/10,0,Simon & Schuster
BODY WORK,Sara Paretsky,Putnam,399156747,9.7804E+12,Hardcover Fiction,9/26/10,0,Penguin Random House
BEARERS OF THE BLACK STAFF (LEGENDS OF SHANNARA),Terry Brooks,Del Rey/Ballantine,345484177,9.78035E+12,Hardcover Fiction,9/26/10,0,
THE GRAND DESIGN,Stephen Hawking and Leonard Mlodinow,Bantam,553805371,9.78055E+12,Hardcover Nonfiction,9/26/10,1,Penguin Random House
CRIMES AGAINST LIBERTY,David Limbaugh,Regnery,1596986247,9.7816E+12,Hardcover Nonfiction,9/26/10,3,Regnery Publishing
A JOURNEY,Tony Blair,Knopf,307269833,9.78031E+12,Hardcover Nonfiction,9/26/10,2,Penguin Random House
_____ MY DAD SAYS,Justin Halpern,It Books/HarperCollins,61992704,9.78006E+12,Hardcover Nonfiction,9/26/10,19,HarperCollins
THE WARMTH OF OTHER SUNS,Isabel Wilkerson,Random House,679444327,9.78068E+12,Hardcover Nonfiction,9/26/10,1,Penguin Random House
OUTLIERS,Malcolm Gladwell,"Little, Brown",316017922,9.78032E+12,Hardcover Nonfiction,9/26/10,94,Hachette Book
THE BIG SHORT,Michael Lewis,Norton,393072231,9.78039E+12,Hardcover Nonfiction,9/26/10,26,Norton
EMPIRE OF THE SUMMER MOON,SC Gwynne,Scribner,1416591052,9.78142E+12,Hardcover Nonfiction,9/26/10,12,Simon & Schuster
BOB DYLAN IN AMERICA,Sean Wilentz,Doubleday,385529880,9.78039E+12,Hardcover Nonfiction,9/26/10,1,Penguin Random House
THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,Crown,1400052173,9.7814E+12,Hardcover Nonfiction,9/26/10,29,Penguin Random House
CHELSEA CHELSEA BANG BANG,Chelsea Handler,Grand Central,446552445,9.78045E+12,Hardcover Nonfiction,9/26/10,27,Grand Central
COMMITTED,Elizabeth Gilbert,Viking,670021652,9.78067E+12,Hardcover Nonfiction,9/26/10,14,Penguin Random House
CHOOSING TO SEE,Mary Beth Chapman and Ellen Vaughn,Revell,800719913,9.7808E+12,Hardcover Nonfiction,9/26/10,2,
MEDIUM RAW,Anthony Bourdain,Ecco/HarperCollins,61718947,9.78006E+12,Hardcover Nonfiction,9/26/10,14,
BORN TO RUN,Christopher McDougall,Knopf,307266303,9.78031E+12,Hardcover Nonfiction,9/26/10,28,Penguin Random House
WASHINGTON RULES,Andrew Bacevich,Metropolitan/Holt,805091416,9.78081E+12,Hardcover Nonfiction,9/26/10,1,
THE OBAMA DIARIES,Laura Ingraham,Threshold Editions,1439197512,9.78144E+12,Hardcover Nonfiction,9/26/10,0,Simon & Schuster
LET'S TAKE THE LONG WAY HOME,Gail Caldwell,Random House,1400067383,9.7814E+12,Hardcover Nonfiction,9/26/10,0,Penguin Random House
COMING BACK STRONGER,Drew Brees with Chris Fabry,Tyndale House,1414339437,9.78141E+12,Hardcover Nonfiction,9/26/10,0,Penguin Random House
WAR,Sebastian Junger,Twelve,446556246,9.78045E+12,Hardcover Nonfiction,9/26/10,0,Hachette Book
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Vintage Crime/Black Lizard,307454541,9.78031E+12,Trade Fiction Paperback,9/26/10,64,Penguin Random House
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Vintage Crime/Black Lizard,030745455X,9.78031E+12,Trade Fiction Paperback,9/26/10,25,Penguin Random House
LITTLE BEE,Chris Cleave,Simon & Schuster,1416589643,9.78142E+12,Trade Fiction Paperback,9/26/10,30,Simon & Schuster
HALF BROKE HORSES,Jeannette Walls,Scribner,1416586296,9.78142E+12,Trade Fiction Paperback,9/26/10,1,Simon & Schuster
CUTTING FOR STONE,Abraham Verghese,Vintage,375714367,9.78038E+12,Trade Fiction Paperback,9/26/10,33,Penguin Random House
THE ART OF RACING IN THE RAIN,Garth Stein,Harper Paperbacks,61537969,9.78006E+12,Trade Fiction Paperback,9/26/10,66,HarperCollins
SARAH’S KEY,Tatiana de Rosnay,St. Martin's Griffin,312370849,9.78031E+12,Trade Fiction Paperback,9/26/10,83,Macmillan Publishers
FORD COUNTY,John Grisham,Bantam,553386816,9.78055E+12,Trade Fiction Paperback,9/26/10,4,Penguin Random House
THE ALCHEMIST,Paulo Coelho,HarperOne,61122416,9.78006E+12,Trade Fiction Paperback,9/26/10,145,HarperCollins
THE LACUNA,Barbara Kingsolver,Harper Perennial,60852585,9.78006E+12,Trade Fiction Paperback,9/26/10,8,HarperCollins
THE THORN,Beverly Lewis,Bethany House,764205749,9.78076E+12,Trade Fiction Paperback,9/26/10,1,
BEST FRIENDS FOREVER,Jennifer Weiner,Washington Square,743294300,9.78074E+12,Trade Fiction Paperback,9/26/10,19,Simon & Schuster
A GATE AT THE STAIRS,Lorrie Moore,Vintage Contemporaries,375708464,9.78038E+12,Trade Fiction Paperback,9/26/10,3,
THE CORRECTIONS,Jonathan Franzen,Picador,312421273,9.78031E+12,Trade Fiction Paperback,9/26/10,2,Holtzbrinck Publishing Group/Macmillan
A RELIABLE WIFE,Robert Goolrick,Algonquin,1565129776,9.78157E+12,Trade Fiction Paperback,9/26/10,35,Algonquin Books
"UNDER THE DOME, PART 1",Stephen King,Gallery,1439149038,9.78144E+12,Trade Fiction Paperback,9/26/10,10,Simon & Schuster
NEVER LET ME GO,Kazuo Ishiguro,Vintage International,307740994,9.78031E+12,Trade Fiction Paperback,9/26/10,1,
WOLF HALL,Hilary Mantel,Picador,312429983,9.78031E+12,Trade Fiction Paperback,9/26/10,2,Holtzbrinck Publishing Group/Macmillan
WATER FOR ELEPHANTS,Sara Gruen,Algonquin,1565125606,9.78157E+12,Trade Fiction Paperback,9/26/10,94,Algonquin Books
ONE DAY,David Nicholls,Vintage,307474712,9.78031E+12,Trade Fiction Paperback,9/26/10,12,Penguin Random House
"EAT, PRAY, LOVE",Elizabeth Gilbert,Penguin,143038419,9.78014E+12,Paperback Nonfiction,9/26/10,188,Penguin Random House
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,Penguin,143038257,9.78014E+12,Paperback Nonfiction,9/26/10,189,Penguin Random House
THE GLASS CASTLE,Jeannette Walls,Scribner,074324754X,9.78074E+12,Paperback Nonfiction,9/26/10,184,Simon & Schuster
OPEN,Andre Agassi,Vintage,307388409,9.78031E+12,Paperback Nonfiction,9/26/10,5,Penguin Random House
WHERE MEN WIN GLORY,Jon Krakauer,Anchor,030738604X,9.78031E+12,Paperback Nonfiction,9/26/10,7,Penguin Random House
MY HORIZONTAL LIFE,Chelsea Handler,Bloomsbury,1582346186,9.78158E+12,Paperback Nonfiction,9/26/10,98,Bloomsbury Publishing
MENNONITE IN A LITTLE BLACK DRESS,Rhoda Janzen,Holt,805092250,9.78081E+12,Paperback Nonfiction,9/26/10,22,Macmillan Publishers
TOO BIG TO FAIL,Andrew Ross Sorkin,Penguin,143118242,9.78014E+12,Paperback Nonfiction,9/26/10,1,Penguin Random House
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,1416596364,9.78142E+12,Paperback Nonfiction,9/26/10,37,Simon & Schuster
TRAVELING WITH POMEGRANATES,Sue Monk Kidd and Ann Kidd Taylor,Penguin,143117971,9.78014E+12,Paperback Nonfiction,9/26/10,1,Penguin Random House
TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",316346624,9.78032E+12,Paperback Nonfiction,9/26/10,310,Hachette Book
FREAKONOMICS,Steven D Levitt and Stephen J Dubner,Harper Perennial,60731338,9.78006E+12,Paperback Nonfiction,9/26/10,55,HarperCollins
ZEITOUN,Dave Eggers,Vintage,307387941,9.78031E+12,Paperback Nonfiction,9/26/10,13,Penguin Random House
KITCHEN CONFIDENTIAL,Anthony Bourdain,Ecco/HarperCollins,60899220,9.78006E+12,Paperback Nonfiction,9/26/10,33,
A LONG WAY GONE,Ishmael Beah,"Sarah Crichton/Farrar, Straus & Giroux",374531269,9.78037E+12,Paperback Nonfiction,9/26/10,41,
I HOPE THEY SERVE BEER IN HELL,Tucker Max,Citadel/Kensington,806532254,9.78081E+12,Paperback Nonfiction,9/26/10,150,Kensington Publishing Corp.
THE OMNIVORE’S DILEMMA,Michael Pollan,Penguin,143038583,9.78014E+12,Paperback Nonfiction,9/26/10,145,Penguin Random House
HALF THE SKY,Nicholas D Kristof and Sheryl WuDunn,Vintage,307387097,9.78031E+12,Paperback Nonfiction,9/26/10,14,Penguin Random House
BLINK,Malcolm Gladwell,"Back Bay/Little, Brown",316010669,9.78032E+12,Paperback Nonfiction,9/26/10,152,Hachette Book
THE GOOD SOLDIERS,David Finkel,Picador,312430027,9.78031E+12,Paperback Nonfiction,9/26/10,3,Holtzbrinck Publishing Group/Macmillan
MY MOMMY HUNG THE MOON,Jamie Lee Curtis,Joanna Cotler/HarperCollins,60290161,9.78006E+12,Picture Books,9/26/10,1,
IT’S A BOOK,Lane Smith,Roaring Brook,1596436069,9.7816E+12,Picture Books,9/26/10,5,Macmillan Publishers
THE ODIOUS OGRE,Norton Juster,Michael di Capua/Scholastic,545162025,9.78055E+12,Picture Books,9/26/10,1,Scholastic
HEADS,,Paula Wiseman/Simon & Schuster,1442403799,9.78144E+12,Picture Books,9/26/10,3,
LEGO STAR WARS,Simon Beecroft,DK,756655293,9.78076E+12,Picture Books,9/26/10,38,Penguin Random House
LATE FOR SCHOOL,Steve Martin,Grand Central,446557021,9.78045E+12,Picture Books,9/26/10,1,Grand Central
BUZZ BOY AND FLY GUY,Tedd Arnold,"Cartwheel/Scholastic,",545222745,9.78055E+12,Picture Books,9/26/10,1,
BATS AT THE BALLGAME,Brian Lies,Houghton Mifflin Harcourt,547249705,9.78055E+12,Picture Books,9/26/10,4,Houghton Mifflin Harcourt
ZEN GHOSTS,Jon J Muth,Scholastic Press,043963430X,9.78044E+12,Picture Books,9/26/10,2,Scholastic
HOW ROCKET LEARNED TO READ,Tad Hills,Schwartz & Wade,375858997,9.78038E+12,Picture Books,9/26/10,7,Penguin Random House
THE HUNGER GAMES,Suzanne Collins,"Scholastic, hardcover and paper",439023513,9.78044E+12,Series Books,9/26/10,3,Scholastic
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1423101472,9.78142E+12,Series Books,9/26/10,166,Disney Publishing Worldwide
THE 39 CLUES,various authors,Scholastic,545060508,9.78055E+12,Series Books,9/26/10,62,Scholastic
DIARY OF A WIMPY KID,and   Jeff Kinney,Abrams,810993139,9.78081E+12,Series Books,9/26/10,87,Abrams
THE TWILIGHT SAGA,Stephenie Meyer,"Megan Tingley/Little, Brown",316067938,9.78032E+12,Series Books,9/26/10,162,Hachette Book
PRETTY LITTLE LIARS,Sara Shepard,HarperTeen,006088732X,9.78006E+12,Series Books,9/26/10,27,HarperCollins
GUARDIANS OF GA’HOOLE,Kathryn Lasky,"Scholastic, paper only",439405572,9.78044E+12,Series Books,9/26/10,1,
HOUSE OF NIGHT,PC Cast and Kristin Cast,St. Martin's,312606168,9.78031E+12,Series Books,9/26/10,106,Macmillan Publishers
THE MORTAL INSTRUMENTS,Cassandra Clare,McElderry/Simon & Schuster,1416955070,9.78142E+12,Series Books,9/26/10,36,
PRIVATE,Kate Brian,"SImon & Schuster, paper only",1416984712,9.78142E+12,Series Books,9/26/10,7,
THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf,030726999X,9.78031E+12,Hardcover Fiction,8/29/10,12,Penguin Random House
TOUGH CUSTOMER,Sandra Brown,Simon & Schuster,1416563105,9.78142E+12,Hardcover Fiction,8/29/10,1,Simon & Schuster
THE HELP,Kathryn Stockett,Amy Einhorn/Putnam,399155341,9.7804E+12,Hardcover Fiction,8/29/10,72,Penhuin Random House
STAR ISLAND,Carl Hiaasen,Knopf,307272583,9.78031E+12,Hardcover Fiction,8/29/10,3,Penguin Random House
VEIL OF NIGHT,Linda Howard,Ballantine,345506898,9.78035E+12,Hardcover Fiction,8/29/10,1,Penguin Random House
THE VIGILANTES,W E B Griffin and William E Butterworth IV,Putnam,399156631,9.7804E+12,Hardcover Fiction,8/29/10,1,Penguin Random House
THE RED QUEEN,Philippa Gregory,Touchstone/Simon & Schuster,1416563725,9.78142E+12,Hardcover Fiction,8/29/10,2,
THE REMBRANDT AFFAIR,Daniel Silva,Putnam,399156585,9.7804E+12,Hardcover Fiction,8/29/10,4,Penguin Random House
PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,"Little, Brown",316096156,9.78032E+12,Hardcover Fiction,8/29/10,7,Hachette Book
FLY AWAY HOME,Jennifer Weiner,Atria,743294270,9.78074E+12,Hardcover Fiction,8/29/10,5,Simon & Schuster
THE SEARCH,Nora Roberts,Putnam,399156577,9.7804E+12,Hardcover Fiction,8/29/10,6,Penguin Random House
SIZZLING SIXTEEN,Janet Evanovich,St. Martin's,312383304,9.78031E+12,Hardcover Fiction,8/29/10,8,Macmillan Publishers
DEATH ON THE D-LIST,Nancy Grace,Hyperion,1401323138,9.7814E+12,Hardcover Fiction,8/29/10,1,Disney Publishing Worldwide
CURE,Robin Cook,Putnam,399156623,9.7804E+12,Hardcover Fiction,8/29/10,1,Penguin Random House
THE GLASS RAINBOW,James Lee Burke,Simon & Schuster,1439128294,9.78144E+12,Hardcover Fiction,8/29/10,5,Simon & Schuster
SUPER SAD TRUE LOVE STORY,Gary Shteyngart,Random House,1400066409,9.7814E+12,Hardcover Fiction,8/29/10,3,Penguin Random House
THE OVERTON WINDOW,Glenn Beck,Threshold Editions/Mercury Radio Arts,1439184305,9.78144E+12,Hardcover Fiction,8/29/10,0,Hachette Book
HANGMAN,Faye Kellerman,Morrow/HarperCollins,61702560,9.78006E+12,Hardcover Fiction,8/29/10,0,HarperCollins
DEAD IN THE FAMILY,Charlaine Harris,Ace,441018645,9.78044E+12,Hardcover Fiction,8/29/10,0,Penguin Random House
THE LION,Nelson DeMille,Grand Central,044658083X,9.78045E+12,Hardcover Fiction,8/29/10,0,Grand Central
_____ MY DAD SAYS,Justin Halpern,It Books/HarperCollins,61992704,9.78006E+12,Hardcover Nonfiction,8/29/10,15,HarperCollins
THE OBAMA DIARIES,Laura Ingraham,Threshold Editions,1439197512,9.78144E+12,Hardcover Nonfiction,8/29/10,5,Simon & Schuster
THE BIG SHORT,Michael Lewis,Norton,393072231,9.78039E+12,Hardcover Nonfiction,8/29/10,22,Norton
EMPIRE OF THE SUMMER MOON,SC Gwynne,Scribner,1416591052,9.78142E+12,Hardcover Nonfiction,8/29/10,8,Simon & Schuster
CHELSEA CHELSEA BANG BANG,Chelsea Handler,Grand Central,446552445,9.78045E+12,Hardcover Nonfiction,8/29/10,23,Grand Central
OUTLIERS,Malcolm Gladwell,"Little, Brown",316017922,9.78032E+12,Hardcover Nonfiction,8/29/10,90,Hachette Book
ANGELINA,Andrew Morton,St. Martin's,031255561X,9.78031E+12,Hardcover Nonfiction,8/29/10,2,Macmillan Publishers
PACKING FOR MARS,Mary Roach,Norton,393068471,9.78039E+12,Hardcover Nonfiction,8/29/10,2,Norton
SLIDING INTO HOME,Kendra Wilkinson,Gallery,1439180911,9.78144E+12,Hardcover Nonfiction,8/29/10,6,Simon & Schuster
COMMITTED,Elizabeth Gilbert,Viking,670021652,9.78067E+12,Hardcover Nonfiction,8/29/10,10,Penguin Random House
THE MURDER ROOM,Michael Capuzzo,Gotham,1592401422,9.78159E+12,Hardcover Nonfiction,8/29/10,1,
COMING BACK STRONGER,Drew Brees with Chris Fabry,Tyndale House,1414339437,9.78141E+12,Hardcover Nonfiction,8/29/10,6,Penguin Random House
MEDIUM RAW,Anthony Bourdain,Ecco/HarperCollins,61718947,9.78006E+12,Hardcover Nonfiction,8/29/10,10,
THE DISAPPEARING SPOON,Sam Kean,"Little, Brown",316051640,9.78032E+12,Hardcover Nonfiction,8/29/10,3,Hachette Book
THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,Crown,1400052173,9.7814E+12,Hardcover Nonfiction,8/29/10,25,Penguin Random House
WAR,Sebastian Junger,Twelve,446556246,9.78045E+12,Hardcover Nonfiction,8/29/10,14,Hachette Book
MUSTAINE,Dave Mustaine with Joe Layden,It Books/HarperCollins,61714372,9.78006E+12,Hardcover Nonfiction,8/29/10,0,HarperCollins
BORN TO RUN,Christopher McDougall,Knopf,307266303,9.78031E+12,Hardcover Nonfiction,8/29/10,0,Penguin Random House
LET'S TAKE THE LONG WAY HOME,Gail Caldwell,Random House,1400067383,9.7814E+12,Hardcover Nonfiction,8/29/10,0,Penguin Random House
COMPOSED,Rosanne Cash,Viking,670021962,9.78067E+12,Hardcover Nonfiction,8/29/10,0,Penguin Random House
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Vintage Crime/Black Lizard,307454541,9.78031E+12,Trade Fiction Paperback,8/29/10,60,Penguin Random House
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Vintage Crime/Black Lizard,030745455X,9.78031E+12,Trade Fiction Paperback,8/29/10,21,Penguin Random House
LITTLE BEE,Chris Cleave,Simon & Schuster,1416589643,9.78142E+12,Trade Fiction Paperback,8/29/10,26,Simon & Schuster
THE LACUNA,Barbara Kingsolver,Harper Perennial,60852585,9.78006E+12,Trade Fiction Paperback,8/29/10,4,HarperCollins
CUTTING FOR STONE,Abraham Verghese,Vintage,375714367,9.78038E+12,Trade Fiction Paperback,8/29/10,29,Penguin Random House
"UNDER THE DOME, PART 1",Stephen King,Gallery,1439149038,9.78144E+12,Trade Fiction Paperback,8/29/10,6,Simon & Schuster
THE ART OF RACING IN THE RAIN,Garth Stein,Harper Paperbacks,61537969,9.78006E+12,Trade Fiction Paperback,8/29/10,62,HarperCollins
ONE DAY,David Nicholls,Vintage,307474712,9.78031E+12,Trade Fiction Paperback,8/29/10,8,Penguin Random House
BEST FRIENDS FOREVER,Jennifer Weiner,Washington Square,743294300,9.78074E+12,Trade Fiction Paperback,8/29/10,15,Simon & Schuster
THE ALCHEMIST,Paulo Coelho,HarperOne,61122416,9.78006E+12,Trade Fiction Paperback,8/29/10,141,HarperCollins
SARAH’S KEY,Tatiana de Rosnay,St. Martin's Griffin,312370849,9.78031E+12,Trade Fiction Paperback,8/29/10,79,Macmillan Publishers
THE SHACK,William P Young,Windblown Media,964729237,9.78096E+12,Trade Fiction Paperback,8/29/10,112,Windblown Media
THE KITE RUNNER,Khaled Hosseini,Riverhead,1594480001,9.78159E+12,Trade Fiction Paperback,8/29/10,94,Penguin Random House
WATER FOR ELEPHANTS,Sara Gruen,Algonquin,1565125606,9.78157E+12,Trade Fiction Paperback,8/29/10,90,Algonquin Books
CHARLIE ST. CLOUD,Ben Sherwood,Bantam,055338693X,9.78055E+12,Trade Fiction Paperback,8/29/10,4,Penguin Random House
A RELIABLE WIFE,Robert Goolrick,Algonquin,1565129776,9.78157E+12,Trade Fiction Paperback,8/29/10,31,Algonquin Books
SWIMSUIT,James Patterson and Maxine Paetro,Grand Central,446561363,9.78045E+12,Trade Fiction Paperback,8/29/10,9,Grand Central
THIS IS WHERE I LEAVE YOU,Jonathan Tropper,Plume,452296366,9.78045E+12,Trade Fiction Paperback,8/29/10,4,Penguin Random House
LET THE GREAT WORLD SPIN,Colum McCann,Random House,812973992,9.78081E+12,Trade Fiction Paperback,8/29/10,23,Penguin Random House
TINKERS,Paul Harding,Bellevue Literary Press,193413712X,9.78193E+12,Trade Fiction Paperback,8/29/10,16,Bellevue Literary Press
"EAT, PRAY, LOVE",Elizabeth Gilbert,Penguin,143038419,9.78014E+12,Paperback Nonfiction,8/29/10,184,Penguin Random House
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,Penguin,143038257,9.78014E+12,Paperback Nonfiction,8/29/10,185,Penguin Random House
THE GLASS CASTLE,Jeannette Walls,Scribner,074324754X,9.78074E+12,Paperback Nonfiction,8/29/10,180,Simon & Schuster
WHERE MEN WIN GLORY,Jon Krakauer,Anchor,030738604X,9.78031E+12,Paperback Nonfiction,8/29/10,3,Penguin Random House
MY HORIZONTAL LIFE,Chelsea Handler,Bloomsbury,1582346186,9.78158E+12,Paperback Nonfiction,8/29/10,94,Bloomsbury Publishing
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,1416596364,9.78142E+12,Paperback Nonfiction,8/29/10,33,Simon & Schuster
MENNONITE IN A LITTLE BLACK DRESS,Rhoda Janzen,Holt,805092250,9.78081E+12,Paperback Nonfiction,8/29/10,18,Macmillan Publishers
A LONG WAY GONE,Ishmael Beah,"Sarah Crichton/Farrar, Straus & Giroux",374531269,9.78037E+12,Paperback Nonfiction,8/29/10,39,
TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",316346624,9.78032E+12,Paperback Nonfiction,8/29/10,306,Hachette Book
FREAKONOMICS,Steven D Levitt and Stephen J Dubner,Harper Perennial,60731338,9.78006E+12,Paperback Nonfiction,8/29/10,51,HarperCollins
OPEN,Andre Agassi,Vintage,307388409,9.78031E+12,Paperback Nonfiction,8/29/10,1,Penguin Random House
ZEITOUN,Dave Eggers,Vintage,307387941,9.78031E+12,Paperback Nonfiction,8/29/10,9,Penguin Random House
LIT,Mary Karr,Harper Perennial,60596996,9.78006E+12,Paperback Nonfiction,8/29/10,7,HarperCollins
THE GOOD SOLDIERS,David Finkel,Picador,312430027,9.78031E+12,Paperback Nonfiction,8/29/10,1,Holtzbrinck Publishing Group/Macmillan
THE OMNIVORE’S DILEMMA,Michael Pollan,Penguin,143038583,9.78014E+12,Paperback Nonfiction,8/29/10,141,Penguin Random House
SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,Nelson,084991910X,9.78085E+12,Paperback Nonfiction,8/29/10,89,
KITCHEN CONFIDENTIAL,Anthony Bourdain,Ecco/HarperCollins,60899220,9.78006E+12,Paperback Nonfiction,8/29/10,32,
I HOPE THEY SERVE BEER IN HELL,Tucker Max,Citadel/Kensington,806532254,9.78081E+12,Paperback Nonfiction,8/29/10,146,Kensington Publishing Corp.
THE BLACK SWAN,Nassim Nicholas Taleb,Random House,081297381X,9.78081E+12,Paperback Nonfiction,8/29/10,14,Penguin Random House
BLINK,Malcolm Gladwell,"Back Bay/Little, Brown",316010669,9.78032E+12,Paperback Nonfiction,8/29/10,148,Hachette Book
LEGO STAR WARS,Simon Beecroft,DK,756655293,9.78076E+12,Picture Books,8/29/10,34,Penguin Random House
THE QUIET BOOK,Deborah Underwood,Houghton Mifflin Harcourt,547215673,9.78055E+12,Picture Books,8/29/10,12,Houghton Mifflin Harcourt
STAR WARS,Rufus Butler Seder,Workman,761158464,9.78076E+12,Picture Books,8/29/10,14,Hachette Book
HOW ROCKET LEARNED TO READ,Tad Hills,Schwartz & Wade,375858997,9.78038E+12,Picture Books,8/29/10,3,Penguin Random House
"CITY DOG, COUNTRY FROG",Mo Willems,Hyperion/Disney,1423103009,9.78142E+12,Picture Books,8/29/10,10,Disney Publishing Worldwide
LADYBUG GIRL AT THE BEACH,David Soman and Jacky Davis,Dial,803734166,9.7808E+12,Picture Books,8/29/10,13,Penguin Random House
IT’S A BOOK,Lane Smith,Roaring Brook,1596436069,9.7816E+12,Picture Books,8/29/10,1,Macmillan Publishers
THE VERY FAIRY PRINCESS: HERE COMES THE FLOWER GIRL!,Julie Andrews and Emma Walton Hamilton,"Little, Brown",316040509,9.78032E+12,Picture Books,8/29/10,13,Hachette Book
OOH LA LA! IT'S BEAUTY DAY,Jane O’Connor,Harper/HarperCollins,61915254,9.78006E+12,Picture Books,8/29/10,8,HarperCollins
THE JUNKYARD WONDERS,Patricia Polacco,Philomel,399250786,9.7804E+12,Picture Books,8/29/10,2,Penguin Random House
PRETTY LITTLE LIARS,Sara Shepard,HarperTeen,006088732X,9.78006E+12,Series Books,8/29/10,23,HarperCollins
THE TWILIGHT SAGA,Stephenie Meyer,"Megan Tingley/Little, Brown",316067938,9.78032E+12,Series Books,8/29/10,158,Hachette Book
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1423113497,9.78142E+12,Series Books,8/29/10,162,Disney Publishing Worldwide
DIARY OF A WIMPY KID,and   Jeff Kinney,Abrams,810996162,9.78081E+12,Series Books,8/29/10,83,Abrams
ARTEMIS FOWL,Eoin Colfer,Disney-Hyperion,1423128192,9.78142E+12,Series Books,8/29/10,112,Disney Publishing Worldwide
WARRIORS,Erin Hunter,HarperCollins,61699942,9.78006E+12,Series Books,8/29/10,92,HarperCollins
THE 39 CLUES,various authors,Scholastic,545060397,9.78055E+12,Series Books,8/29/10,58,Scholastic
HOUSE OF NIGHT,PC Cast and Kristin Cast,St. Martin's,312606168,9.78031E+12,Series Books,8/29/10,102,Macmillan Publishers
THE CLIQUE,Lisi Harrison,"Poppy/Little, Brown, paper only",316084441,9.78032E+12,Series Books,8/29/10,21,
RANGER’S APPRENTICE,John Flanagan,"Philomel, hardcover and paper",142417440,9.78014E+12,Series Books,8/29/10,51,
THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf,030726999X,9.78031E+12,Hardcover Fiction,8/1/10,8,Penguin Random House
FLY AWAY HOME,Jennifer Weiner,Atria,743294270,9.78074E+12,Hardcover Fiction,8/1/10,1,Simon & Schuster
THE SEARCH,Nora Roberts,Putnam,399156577,9.7804E+12,Hardcover Fiction,8/1/10,2,Penguin Random House
THE HELP,Kathryn Stockett,Amy Einhorn/Putnam,399155341,9.7804E+12,Hardcover Fiction,8/1/10,68,Penhuin Random House
PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,"Little, Brown",316096156,9.78032E+12,Hardcover Fiction,8/1/10,3,Hachette Book
THE GLASS RAINBOW,James Lee Burke,Simon & Schuster,1439128294,9.78144E+12,Hardcover Fiction,8/1/10,1,Simon & Schuster
SIZZLING SIXTEEN,Janet Evanovich,St. Martin's,312383304,9.78031E+12,Hardcover Fiction,8/1/10,4,Macmillan Publishers
FAITHFUL PLACE,Tana French,Viking,670021873,9.78067E+12,Hardcover Fiction,8/1/10,1,Penguin Random House
THE OVERTON WINDOW,Glenn Beck,Threshold Editions/Mercury Radio Arts,1439184305,9.78144E+12,Hardcover Fiction,8/1/10,5,Hachette Book
LIVE TO TELL,Lisa Gardner,Bantam,553807242,9.78055E+12,Hardcover Fiction,8/1/10,1,Penguin Random House
THE PASSAGE,Justin Cronin,Ballantine,345504968,9.78035E+12,Hardcover Fiction,8/1/10,6,Penguin Random House
THE LION,Nelson DeMille,Grand Central,044658083X,9.78045E+12,Hardcover Fiction,8/1/10,6,Grand Central
FOREIGN INFLUENCE,Brad Thor,Atria,1416586598,9.78142E+12,Hardcover Fiction,8/1/10,3,Simon & Schuster
