Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Parent Group
ARMAGEDDON IN RETROSPECT,Kurt Vonnegut,Berkley,425226891,9.78043E+12,Paperback Nonfiction,5/10/09,2,Penguin Random House
THE ZOOKEEPER’S WIFE,Diane Ackerman,Norton,039333306X,9.78039E+12,Paperback Nonfiction,5/10/09,26,Norton
BONK,Mary Roach,Norton,393334791,9.78039E+12,Paperback Nonfiction,5/10/09,1,Norton
EMERGENCY,Neil Strauss,Harper,60898771,9.78006E+12,Paperback Nonfiction,5/10/09,7,HarperCollins
LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,Greg Mortenson and Susan L Roth,Dial,803730586,9.7808E+12,Picture Books,5/10/09,14,Penguin Random House
LADYBUG GIRL AND BUMBLEBEE BOY,David Soman and Jacky Davis,Dial,803733399,9.7808E+12,Picture Books,5/10/09,8,Penguin Random House
THE VERY HUNGRY CATERPILLAR,Eric Carle,Philomel,399250395,9.7804E+12,Picture Books,5/10/09,6,Penguin Random House
GALLOP!,Rufus Butler Seder,Workman,761147632,9.78076E+12,Picture Books,5/10/09,76,Hachette Book
THE CURIOUS GARDEN,Peter Brown,"Little, Brown",316015474,9.78032E+12,Picture Books,5/10/09,2,Hachette Book
SWING!,Rufus Butler Seder,Workman,761151273,9.78076E+12,Picture Books,5/10/09,28,Hachette Book
BLUEBERRY GIRL,Neil Gaiman,HarperCollins,60838086,9.78006E+12,Picture Books,5/10/09,5,HarperCollins
TEN LITTLE FINGERS AND TEN LITTLE TOES,Mem Fox,Harcourt,015206057X,9.78015E+12,Picture Books,5/10/09,17,
CAT,written  Matthew Van Fleet and photographed  Brian Stanton,Wiseman/Simon & Schuster,1416978003,9.78142E+12,Picture Books,5/10/09,11,
THE COMPOSER IS DEAD,Lemony Snicket,HarperCollins,61236276,9.78006E+12,Picture Books,5/10/09,8,HarperCollins
THE TWILIGHT SAGA,Stephenie Meyer,"Megan Tingley/Little, Brown",316160202,9.78032E+12,Series Books,5/10/09,90,Hachette Book
DIARY OF A WIMPY KID,and   Jeff Kinney,Abrams,810994739,9.78081E+12,Series Books,5/10/09,15,Abrams
HOUSE OF NIGHT,PC Cast and Kristin Cast,St. Martin's,312379838,9.78031E+12,Series Books,5/10/09,35,Macmillan Publishers
WARRIORS,Erin Hunter,HarperCollins,61458562,9.78006E+12,Series Books,5/10/09,69,HarperCollins
THE MORTAL INSTRUMENTS,Cassandra Clare,McElderry/Simon & Schuster,1416972242,9.78142E+12,Series Books,5/10/09,5,
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1423103343,9.78142E+12,Series Books,5/10/09,94,Disney Publishing Worldwide
NIGHT WORLD,L J Smith,Simon Pulse,1416974504,9.78142E+12,Series Books,5/10/09,20,
WICKED LOVELY,Melissa Marr,"Bowen Press/HarperCollins hardcover, HarperTeen paper",006121471X,9.78006E+12,Series Books,5/10/09,1,
MAXIMUM RIDE,James Patterson,"Little, Brown",446618896,9.78045E+12,Series Books,5/10/09,51,Hachette Book
MAGIC TREE HOUSE,Mary Pope Osborne.,"Stepping Stone/Random House, hardcover and paper",067989070X,9.78068E+12,Series Books,5/10/09,208,
TRUE DETECTIVES,Jonathan Kellerman,Ballantine,345495144,9.78035E+12,Hardcover Fiction,4/12/09,1,Penguin Random House
HANDLE WITH CARE,Jodi Picoult,Atria,743296419,9.78074E+12,Hardcover Fiction,4/12/09,4,Simon & Schuster
OUTCAST,Aaron Allston,Del Rey/Ballantine,345509064,9.78035E+12,Hardcover Fiction,4/12/09,1,
THE ASSOCIATE,John Grisham,Doubleday,385517831,9.78039E+12,Hardcover Fiction,4/12/09,9,Penguin Random House
THE HOST,Stephenie Meyer,"Little, Brown",316068047,9.78032E+12,Hardcover Fiction,4/12/09,46,Hachette Book
CORSAIR,Clive Cussler and Jack Du Brul,Putnam,399155392,9.7804E+12,Hardcover Fiction,4/12/09,3,Penguin Random House
RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,"Little, Brown",316018740,9.78032E+12,Hardcover Fiction,4/12/09,8,Hachette Book
PURSUIT,Karen Robards,Putnam,399155422,9.7804E+12,Hardcover Fiction,4/12/09,1,Penguin Random House
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,385340990,9.78039E+12,Hardcover Fiction,4/12/09,28,Penguin Random House
EXECUTION DOCK,Anne Perry,Ballantine,034546933X,9.78035E+12,Hardcover Fiction,4/12/09,1,Penguin Random House
HEART AND SOUL,Maeve Binchy,Knopf,030726579X,9.78031E+12,Hardcover Fiction,4/12/09,6,Penguin Random House
THE LONG FALL,Walter Mosley,Riverhead,1594488584,9.78159E+12,Hardcover Fiction,4/12/09,1,Penguin Random House
PROMISES IN DEATH,J D Robb,Putnam,399155481,9.7804E+12,Hardcover Fiction,4/12/09,5,Penguin Random House
NIGHT AND DAY,Robert B Parker,Putnam,399155414,9.7804E+12,Hardcover Fiction,4/12/09,5,Penguin Random House
DEAD SILENCE,Randy Wayne White,Putnam,399155406,9.7804E+12,Hardcover Fiction,4/12/09,3,Penguin Random House
HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,Ballantine,345505336,9.78035E+12,Hardcover Fiction,4/12/09,2,Penguin Random House
THE HELP,Kathryn Stockett,Putnam,399155341,9.7804E+12,Hardcover Fiction,4/12/09,0,Penguin Random House
ONE DAY AT A TIME,Danielle Steel,Delacorte,739328247,9.78074E+12,Hardcover Fiction,4/12/09,0,Penguin Random House
PATHS OF GLORY,Jeffrey Archer,St. Martin's,1427206031,9.78143E+12,Hardcover Fiction,4/12/09,0,Macmillan Publishers
"WHITE WITCH, BLACK CURSE",Kim Harrison,Eos/William Morrow,61138010,9.78006E+12,Hardcover Fiction,4/12/09,0,
LIBERTY AND TYRANNY,Mark R Levin,Threshold Editions,1416562850,9.78142E+12,Hardcover Nonfiction,4/12/09,1,Simon & Schuster
OUTLIERS,Malcolm Gladwell,"Little, Brown",316017922,9.78032E+12,Hardcover Nonfiction,4/12/09,19,Hachette Book
HOUSE OF CARDS,William D Cohan,Doubleday,385528264,9.78039E+12,Hardcover Nonfiction,4/12/09,3,Penguin Random House
A LION CALLED CHRISTIAN,Anthony Bourke and John Rendall,Broadway,767932307,9.78077E+12,Hardcover Nonfiction,4/12/09,3,Penguin Random House
THE YANKEE YEARS,Joe Torre and Tom Verducci,Doubleday,385527403,9.78039E+12,Hardcover Nonfiction,4/12/09,8,Penguin Random House
THE LOST CITY OF Z,David Grann,Doubleday,385513534,9.78039E+12,Hardcover Nonfiction,4/12/09,5,Penguin Random House
A BOLD FRESH PIECE OF HUMANITY,Bill O’Reilly,Broadway,767928822,9.78077E+12,Hardcover Nonfiction,4/12/09,24,Penguin Random House
HAPPENS EVERY DAY,Isabel Gillies,Scribner,1439110077,9.78144E+12,Hardcover Nonfiction,4/12/09,1,Simon & Schuster
DEWEY,Vicki Myron with Bret Witter,Grand Central,446407410,9.78045E+12,Hardcover Nonfiction,4/12/09,28,Grand Central
MY BOOKY WOOK,Russell Brand,Collins,61730416,9.78006E+12,Hardcover Nonfiction,4/12/09,3,
"JESUS, INTERRUPTED",Bart D Ehrman,HarperOne,61173932,9.78006E+12,Hardcover Nonfiction,4/12/09,4,HarperCollins
HOW WE DECIDE,Jonah Lehrer,Houghton Mifflin Harcourt,618620117,9.78062E+12,Hardcover Nonfiction,4/12/09,3,Houghton Mifflin Harcourt
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,1416954120,9.78142E+12,Hardcover Nonfiction,4/12/09,34,Simon & Schuster
INSIDE THE REVOLUTION,Joel C Rosenberg,Tyndale,1414319312,9.78141E+12,Hardcover Nonfiction,4/12/09,3,
JOKER ONE,Donovan Campbell,Random House,1400067731,9.7814E+12,Hardcover Nonfiction,4/12/09,2,Penguin Random House
IT SUCKED AND THEN I CRIED,Heather Armstrong,Simon Spotlight Entertainment,1416936017,9.78142E+12,Hardcover Nonfiction,4/12/09,1,Simon & Schuster
NO ANGEL,Jay Dons and Nils Johnson-Shelton,Crown,307405850,9.78031E+12,Hardcover Nonfiction,4/12/09,0,Penguin Random House
OUT OF CAPTIVITY,"Marc Gonsalves, Keith Stansell, Tom Howes and Gary Brozek",William Morrow,61769525,9.78006E+12,Hardcover Nonfiction,4/12/09,0,
"HOT, FLAT, AND CROWDED",Thomas L Friedman,"Farrar, Straus & Giroux",374166854,9.78037E+12,Hardcover Nonfiction,4/12/09,0,HarperCollins
WHEN MARCH WENT MAD,Seth Davis,Times,805088105,9.78081E+12,Hardcover Nonfiction,4/12/09,0,
THE SHACK,William P Young,Windblown Media,964729237,9.78096E+12,Trade Fiction Paperback,4/12/09,45,Windblown Media
FIREFLY LANE,Kristin Hannah,St. Martin's Griffin,312537077,9.78031E+12,Trade Fiction Paperback,4/12/09,12,Macmillan Publishers
THE READER,Bernhard Schlink,Vintage,307454894,9.78031E+12,Trade Fiction Paperback,4/12/09,17,Penguin Random House
AMERICAN WIFE,Curtis Sittenfeld,Random House,812975405,9.78081E+12,Trade Fiction Paperback,4/12/09,7,Penguin Random House
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,Grand Central,446199443,9.78045E+12,Trade Fiction Paperback,4/12/09,12,Grand Central
WATER FOR ELEPHANTS,Sara Gruen,Algonquin,1565125606,9.78157E+12,Trade Fiction Paperback,4/12/09,82,Algonquin Books
A THOUSAND SPLENDID SUNS,Khaled Hosseini,Riverhead,1594489505,9.78159E+12,Trade Fiction Paperback,4/12/09,18,Penguin Random House
SARAH’S KEY,Tatiana de Rosnay,St. Martin's Griffin,312370849,9.78031E+12,Trade Fiction Paperback,4/12/09,7,Macmillan Publishers
THE ALCHEMIST,Paulo Coelho,HarperOne,61122416,9.78006E+12,Trade Fiction Paperback,4/12/09,80,HarperCollins
PEOPLE OF THE BOOK,Geraldine Brooks,Penguin,143115006,9.78014E+12,Trade Fiction Paperback,4/12/09,13,Penguin Random House
THE BRIEF WONDROUS LIFE OF OSCAR WAO,Junot Díaz,Riverhead,1594489580,9.78159E+12,Trade Fiction Paperback,4/12/09,30,Penguin Random House
STILL ALICE,Lisa Genova,Pocket,1439102813,9.78144E+12,Trade Fiction Paperback,4/12/09,12,
THE ELEGANCE OF THE HEDGEHOG,Muriel Barbery,Europa,1933372605,9.78193E+12,Trade Fiction Paperback,4/12/09,13,
REVOLUTIONARY ROAD,Richard Yates,Vintage,375708448,9.78038E+12,Trade Fiction Paperback,4/12/09,17,Penguin Random House
THE WHITE TIGER,Aravind Adiga,Free Press,1416562605,9.78142E+12,Trade Fiction Paperback,4/12/09,24,Simon & Schuster
THE FRIDAY NIGHT KNITTING CLUB,Kate Jacobs,Berkley,425219097,9.78043E+12,Trade Fiction Paperback,4/12/09,53,Penguin Random House
LUSH LIFE,Richard Price,Picador,374299250,9.78037E+12,Trade Fiction Paperback,4/12/09,4,Holtzbrinck Publishing Group/Macmillan
TAKE ONE,Karen Kingsbury,Zondervan,310318432,9.78031E+12,Trade Fiction Paperback,4/12/09,3,HarperCollins
