,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
79,SAPIENS,Yuval Noah Harari,Harper Perennial,0062316117,9780062316110,Paperback Nonfiction,2023-02-19,199
80,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",0374533555,9780374533557,Paperback Nonfiction,2023-02-19,348
81,EDUCATED,Tara Westover,Random House,0399590528,9780399590528,Paperback Nonfiction,2023-02-19,43
82,BORN A CRIME,Trevor Noah,One World,0399588191,9780399588198,Paperback Nonfiction,2023-02-19,184
83,THE NINETIES,Chuck Klosterman,Penguin,0735217963,9780735217966,Paperback Nonfiction,2023-02-19,1
84,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,0316299227,9780316299220,Paperback Nonfiction,2023-02-19,71
85,GRIT,Angela Duckworth,Scribner,1501111116,9781501111112,Paperback Nonfiction,2023-02-19,134
86,HOW THE WORD IS PASSED,Clint Smith,Back Bay,0316492922,9780316492928,Paperback Nonfiction,2023-02-19,6
87,BETWEEN TWO KINGDOMS,Suleika Jaouad,Random House,0399588604,9780399588600,Paperback Nonfiction,2023-02-19,17
88,DOPAMINE NATION,Anna Lembke,Dutton,1524746746,9781524746742,Paperback Nonfiction,2023-02-19,3
89,THESE PRECIOUS DAYS,Ann Patchett,Harper Perennial,0063092794,9780063092792,Paperback Nonfiction,2023-02-19,10
