,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
71,CLINTON CASH,Peter Schweizer,Harper/HarperCollins,0062369288,9780062369284,Hardcover Nonfiction,2015-06-21,5
72,THE QUARTET,Joseph J Ellis,Knopf,0385353405,9780385353403,Hardcover Nonfiction,2015-06-21,4
73,GUMPTION,Nick Offerman,Dutton,0525954678,9780525954675,Hardcover Nonfiction,2015-06-21,2
74,WHAT IF?,Randall Munroe,Houghton Mifflin Harcourt,0544272994,9780544272996,Hardcover Nonfiction,2015-06-21,35
75,LUCKY LIFE INTERRUPTED,Tom Brokaw,Random House,1400069696,9781400069699,Hardcover Nonfiction,2015-06-21,4
76,DO NO HARM,Henry Marsh,Thomas Dunne/St. Martin’s,125006581X,9781250065810,Hardcover Nonfiction,2015-06-21,0
77,MY FIGHT / YOUR FIGHT,Ronda Rousey with Maria Burns Ortiz,Regan Arts,1941393268,9781941393260,Hardcover Nonfiction,2015-06-21,0
78,HOLD STILL,Sally Mann,"Little, Brown",0316247766,9780316247764,Hardcover Nonfiction,2015-06-21,0
79,MISSOULA,Jon Krakauer,Doubleday,0385538731,9780385538732,Hardcover Nonfiction,2015-06-21,0
80,THE GOLDFINCH,Donna Tartt,"Back Bay/Little, Brown",0316055441,9780316055444,Trade Fiction Paperback,2015-06-21,9
81,THE ALCHEMIST,Paulo Coelho,HarperOne/HarperCollins,0062315005,9780062315007,Trade Fiction Paperback,2015-06-21,357
82,THE INVENTION OF WINGS,Sue Monk Kidd,Penguin,0143121707,9780143121701,Trade Fiction Paperback,2015-06-21,5
83,STATION ELEVEN,Emily St. John Mandel,Vintage,0804172447,9780804172448,Trade Fiction Paperback,2015-06-21,1
84,WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,Bantam,0553386883,9780553386882,Trade Fiction Paperback,2015-06-21,1
85,LEAVING TIME,Jodi Picoult,Ballantine,0345544943,9780345544940,Trade Fiction Paperback,2015-06-21,6
86,THE MARTIAN,Andy Weir,Broadway,0553418025,9780553418026,Trade Fiction Paperback,2015-06-21,32
87,THE HUSBAND'S SECRET,Liane Moriarty,Berkley,0425267725,9780425267721,Trade Fiction Paperback,2015-06-21,14
88,DARK PLACES,Gillian Flynn,Broadway,0307341577,9780307341570,Trade Fiction Paperback,2015-06-21,85
89,ORPHAN TRAIN,Christina Baker Kline,Morrow/HarperCollins,0061950726,9780061950728,Trade Fiction Paperback,2015-06-21,94
90,EVERYTHING I NEVER TOLD YOU,Celeste Ng,Penguin,0143127551,9780143127550,Trade Fiction Paperback,2015-06-21,0
91,THE VACATIONERS,Emma Straub,Riverhead,1594633886,9781594633881,Trade Fiction Paperback,2015-06-21,0
92,EUPHORIA,Lily King,Grove Press,0802123708,9780802123701,Trade Fiction Paperback,2015-06-21,0
93,ADULTERY,Paulo Coelho,Vintage,1101872241,9781101872246,Trade Fiction Paperback,2015-06-21,0
94,WHAT ALICE FORGOT,Liane Moriarty,Berkley,0425247449,9780425247440,Trade Fiction Paperback,2015-06-21,0
95,AMERICANAH,Chimamanda Ngozi Adichie,Anchor,0307455920,9780307455925,Trade Fiction Paperback,2015-06-21,0
96,THE ROSIE PROJECT,Graeme Simsion,Simon & Schuster,1476729093,9781476729091,Trade Fiction Paperback,2015-06-21,0
97,ROYAL WEDDING,Meg Cabot,Morrow,0062379089,9780062379085,Trade Fiction Paperback,2015-06-21,0
98,READY PLAYER ONE,Ernest Cline,Broadway,0307887448,9780307887443,Trade Fiction Paperback,2015-06-21,0
99,REVIVAL,Stephen King,Gallery Books,1476770395,9781476770390,Trade Fiction Paperback,2015-06-21,0
100,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,0143125478,9780143125471,Paperback Nonfiction,2015-06-21,54
101,I AM MALALA,Malala Yousafzai with Christina Lamb,"Little, Brown",0316322423,9780316322423,Paperback Nonfiction,2015-06-21,1
102,AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,0062376330,9780062376336,Paperback Nonfiction,2015-06-21,83
103,OUTLIERS,Malcolm Gladwell,"Back Bay/Little, Brown",0316017930,9780316017930,Paperback Nonfiction,2015-06-21,190
104,WILD,Cheryl Strayed,Vintage,0307476073,9780307476074,Paperback Nonfiction,2015-06-21,115
105,UNBROKEN,Laura Hillenbrand,Random House,0812974492,9780812974492,Paperback Nonfiction,2015-06-21,45
106,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",0374533555,9780374533557,Paperback Nonfiction,2015-06-21,87
107,DAVID AND GOLIATH,Malcolm Gladwell,"Little, Brown",0316204374,9780316204378,Paperback Nonfiction,2015-06-21,9
108,THE POWER OF HABIT,Charles Duhigg,Random House,081298160X,9780812981605,Paperback Nonfiction,2015-06-21,68
109,THINGS THAT MATTER,Charles Krauthammer,Crown,038534919X,9780385349192,Paperback Nonfiction,2015-06-21,4
110,QUIET,Susan Cain,Broadway,0307352153,9780307352156,Paperback Nonfiction,2015-06-21,0
111,THE NEW JIM CROW,Michelle Alexander,New Press,1595586431,9781595586438,Paperback Nonfiction,2015-06-21,0
112,A WORK IN PROGRESS,Connor Franta,Keywords/Atria,1476791619,9781476791616,Paperback Nonfiction,2015-06-21,0
113,YOU DESERVE A DRINK,Mamrie Hart,Plume,0142181676,9780142181676,Paperback Nonfiction,2015-06-21,0
114,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,Broadway,1400052181,9781400052189,Paperback Nonfiction,2015-06-21,0
115,THE GLASS CASTLE,Jeannette Walls,Scribner,074324754X,9780743247542,Paperback Nonfiction,2015-06-21,0
116,BOSSYPANTS,Tina Fey,"Back Bay/Little, Brown",0316056898,9780316056892,Paperback Nonfiction,2015-06-21,0
117,THE DEVIL IN THE WHITE CITY,Erik Larson,Vintage,0375725601,9780375725609,Paperback Nonfiction,2015-06-21,0
118,IS EVERYONE HANGING OUT WITHOUT ME?,Mindy Kaling,Three Rivers,0307886271,9780307886279,Paperback Nonfiction,2015-06-21,0
119,PROOF OF HEAVEN,Eben Alexander,Simon & Schuster,1451695195,9781451695199,Paperback Nonfiction,2015-06-21,0
120,THE LIFE-CHANGING MAGIC OF TIDYING UP,Marie Kondo,Ten Speed,1607747308,9781607747307,Advice How-To and Miscellaneous,2015-06-21,32
121,THE WHOLE30,Melissa Hartwig and Dallas Hartwig,Houghton Mifflin Harcourt,0544609719,9780544609716,Advice How-To and Miscellaneous,2015-06-21,7
122,THE FIVE LOVE LANGUAGES,Gary Chapman,Northfield,080241270X,9780802412706,Advice How-To and Miscellaneous,2015-06-21,106
123,THE 22-DAY REVOLUTION,Marco Borges,Celebra,0451474848,9780451474841,Advice How-To and Miscellaneous,2015-06-21,2
124,TRIGGERS,Marshall Goldsmith and Mark Reiter,Crown Business,0804141231,9780804141239,Advice How-To and Miscellaneous,2015-06-21,2
125,BRAIN MAKER,David Perlmutter with Kristin Loberg,"Little, Brown",0316380105,9780316380102,Advice How-To and Miscellaneous,2015-06-21,6
126,THUG KITCHEN,the staff of Thug Kitchen,Rodale,1623363586,9781623363581,Advice How-To and Miscellaneous,2015-06-21,32
127,THE FAST METABOLISM DIET,Haylie Pomroy with Eve Adamson,Harmony,0307986276,9780307986276,Advice How-To and Miscellaneous,2015-06-21,33
128,FRANKLIN BARBECUE,Aaron Franklin and Jordan Mackay,Ten Speed,1607747200,9781607747208,Advice How-To and Miscellaneous,2015-06-21,2
129,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,Atria,1501100106,9781501100109,Advice How-To and Miscellaneous,2015-06-21,36
130,TEAM OF TEAMS,"Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell",Portfolio/Penguin,1591847486,9781591847489,Advice How-To and Miscellaneous,2015-06-21,0
131,GET WHAT'S YOURS,"Laurence J Kotlikoff, Philip Moeller and Paul Solman",Simon & Schuster,1476772290,9781476772295,Advice How-To and Miscellaneous,2015-06-21,0
132,IF YOU FEEL TOO MUCH,Jamie Tworkowski,Jeremy P. Tarcher/Penguin,0399176497,9780399176494,Advice How-To and Miscellaneous,2015-06-21,0
133,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,Workman,0761148574,9780761148579,Advice How-To and Miscellaneous,2015-06-21,0
134,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK,Diane Muldrow,Golden Books,0307977617,9780307977618,Advice How-To and Miscellaneous,2015-06-21,0
135,GODDESSES NEVER AGE,Christiane Northrup,Hay House,1401945163,9781401945169,Advice How-To and Miscellaneous,2015-06-21,0
136,THE GIFTS OF IMPERFECTION,Brené Brown,Hazelden,159285849X,9781592858491,Advice How-To and Miscellaneous,2015-06-21,0
137,IT STARTS WITH FOOD,Dallas and Melissa Hartwig,Victory Belt,1628600543,9781628600544,Advice How-To and Miscellaneous,2015-06-21,0
138,DARING GREATLY,Brené Brown,Avery,1592408419,9781592408412,Advice How-To and Miscellaneous,2015-06-21,0
