,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
140,CLIVE CUSSLER'S HELLBURNER,Mike Maden,Putnam,0593540654,9780593540657,Combined Print and E-Book Fiction,2022-09-25,1
141,HELL AND BACK,Craig Johnson,Viking,0593297296,9780593297292,Combined Print and E-Book Fiction,2022-09-25,1
142,FIRE AND BLOOD,George R.R. Martin,Bantam,0593598008,9780593598009,Combined Print and E-Book Fiction,2022-09-25,11
143,LOVE ON THE BRAIN,Ali Hazelwood,Berkley,0593336844,9780593336847,Combined Print and E-Book Fiction,2022-09-25,3
144,CARRIE SOTO IS BACK,Taylor Jenkins Reid,Ballantine,0593158687,9780593158685,Combined Print and E-Book Fiction,2022-09-25,2
145,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Combined Print and E-Book Nonfiction,2022-09-25,5
146,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Combined Print and E-Book Nonfiction,2022-09-25,107
147,BREAKING HISTORY,Jared Kushner,Broadside,0063221489,9780063221482,Combined Print and E-Book Nonfiction,2022-09-25,3
148,THE DAUGHTER OF AUSCHWITZ,Tova Friedman and Malcolm Brabant,Hanover Square,1335449302,9781335449306,Combined Print and E-Book Nonfiction,2022-09-25,1
149,SOLITO,Javier Zamora,Hogarth,0593498062,9780593498064,Combined Print and E-Book Nonfiction,2022-09-25,1
150,SLOUCHING TOWARDS UTOPIA,J. Bradford DeLong,Basic,0465019595,9780465019595,Combined Print and E-Book Nonfiction,2022-09-25,1
151,THE PALACE PAPERS,Tina Brown,Crown,0593138104,9780593138106,Combined Print and E-Book Nonfiction,2022-09-25,9
152,"DIANA, WILLIAM, AND HARRY",James Patterson and Chris Mooney,"Little, Brown",0759554226,9780759554221,Combined Print and E-Book Nonfiction,2022-09-25,4
153,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Combined Print and E-Book Nonfiction,2022-09-25,53
154,EDUCATED,Tara Westover,Random House,0399590528,9780399590528,Combined Print and E-Book Nonfiction,2022-09-25,148
155,CRYING IN H MART,Michelle Zauner,Knopf,0525657746,9780525657743,Combined Print and E-Book Nonfiction,2022-09-25,50
156,BORN A CRIME,Trevor Noah,One World,0399588191,9780399588198,Combined Print and E-Book Nonfiction,2022-09-25,88
157,BATTLE FOR THE AMERICAN MIND,Pete Hegseth with David Goodwin,Broadside,0063215047,9780063215047,Combined Print and E-Book Nonfiction,2022-09-25,9
158,THINK AGAIN,Adam Grant,Viking,1984878107,9781984878106,Combined Print and E-Book Nonfiction,2022-09-25,20
159,THE STORYTELLER,Dave Grohl,Dey Street,0063076098,9780063076099,Combined Print and E-Book Nonfiction,2022-09-25,25
160,FAIRY TALE,Stephen King,Scribner,1668002175,9781668002179,Hardcover Fiction,2022-09-25,1
161,DESPERATION IN DEATH,J.D. Robb,St. Martin's,1250278236,9781250278234,Hardcover Fiction,2022-09-25,1
162,CARRIE SOTO IS BACK,Taylor Jenkins Reid,Ballantine,0593158687,9780593158685,Hardcover Fiction,2022-09-25,2
163,ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester,Bantam,0593496477,9780593496473,Hardcover Fiction,2022-09-25,4
164,THE MARRIAGE PORTRAIT,Maggie O'Farrell,Knopf,059332062X,9780593320624,Hardcover Fiction,2022-09-25,1
165,THE 6:20 MAN,David Baldacci,Grand Central,1538719843,9781538719848,Hardcover Fiction,2022-09-25,9
166,CLIVE CUSSLER'S HELLBURNER,Mike Maden,Putnam,0593540646,9780593540640,Hardcover Fiction,2022-09-25,1
167,HELL AND BACK,Craig Johnson,Viking,0593297288,9780593297285,Hardcover Fiction,2022-09-25,1
168,KILLERS OF A CERTAIN AGE,Deanna Raybourn,Berkley,0593200683,9780593200681,Hardcover Fiction,2022-09-25,1
169,THE INK BLACK HEART,Robert Galbraith,Mulholland,0316413038,9780316413039,Hardcover Fiction,2022-09-25,2
170,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,1501171348,9781501171345,Hardcover Fiction,2022-09-25,62
171,OTHER BIRDS,Sarah Addison Allen,St. Martin's,1250019869,9781250019868,Hardcover Fiction,2022-09-25,2
172,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Hardcover Fiction,2022-09-25,19
173,THE MIDNIGHT LIBRARY,Matt Haig,Viking,0525559477,9780525559474,Hardcover Fiction,2022-09-25,92
174,THE RISING TIDE,Ann Cleeves,Minotaur,1250204534,9781250204530,Hardcover Fiction,2022-09-25,1
175,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Hardcover Nonfiction,2022-09-25,5
176,BREAKING HISTORY,Jared Kushner,Broadside,0063221489,9780063221482,Hardcover Nonfiction,2022-09-25,3
177,SOLITO,Javier Zamora,Hogarth,0593498062,9780593498064,Hardcover Nonfiction,2022-09-25,1
178,CRYING IN H MART,Michelle Zauner,Knopf,0525657746,9780525657743,Hardcover Nonfiction,2022-09-25,60
179,THE STORYTELLER,Dave Grohl,Dey Street,0063076098,9780063076099,Hardcover Nonfiction,2022-09-25,34
180,SLOUCHING TOWARDS UTOPIA,J. Bradford DeLong,Basic,0465019595,9780465019595,Hardcover Nonfiction,2022-09-25,1
181,FINDING ME,Viola Davis,HarperOne,0063037327,9780063037328,Hardcover Nonfiction,2022-09-25,20
182,THINK AGAIN,Adam Grant,Viking,1984878107,9781984878106,Hardcover Nonfiction,2022-09-25,36
183,"DIANA, WILLIAM, AND HARRY",James Patterson and Chris Mooney,"Little, Brown",0759554226,9780759554221,Hardcover Nonfiction,2022-09-25,4
184,BATTLE FOR THE AMERICAN MIND,Pete Hegseth with David Goodwin,Broadside,0063215047,9780063215047,Hardcover Nonfiction,2022-09-25,12
185,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Flatiron,1250223180,9781250223180,Hardcover Nonfiction,2022-09-25,45
186,LIFE ON THE MISSISSIPPI,Rinker Buck,Avid Reader,1501106376,9781501106378,Hardcover Nonfiction,2022-09-25,5
187,PATH LIT BY LIGHTNING,David Maraniss,Simon & Schuster,1476748411,9781476748412,Hardcover Nonfiction,2022-09-25,5
188,SHY,Mary Rodgers and Jesse Green,"Farrar, Straus and Giroux",0374298629,9780374298623,Hardcover Nonfiction,2022-09-25,2
189,THE PALACE PAPERS,Tina Brown,Crown,0593138090,9780593138090,Hardcover Nonfiction,2022-09-25,8
190,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Trade Fiction Paperback,2022-09-25,71
191,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Trade Fiction Paperback,2022-09-25,57
192,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Trade Fiction Paperback,2022-09-25,76
193,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,1635577993,9781635577990,Trade Fiction Paperback,2022-09-25,1
194,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Trade Fiction Paperback,2022-09-25,59
195,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Trade Fiction Paperback,2022-09-25,79
196,NOVEMBER 9,Colleen Hoover,Atria,1501110349,9781501110344,Trade Fiction Paperback,2022-09-25,43
197,THE AMERICAN ROOMMATE EXPERIMENT,Elena Armas,Atria,1668002779,9781668002773,Trade Fiction Paperback,2022-09-25,1
198,LOVE ON THE BRAIN,Ali Hazelwood,Berkley,0593336844,9780593336847,Trade Fiction Paperback,2022-09-25,3
199,ALL YOUR PERFECTS,Colleen Hoover,Atria,1501193325,9781501193323,Trade Fiction Paperback,2022-09-25,21
200,MAYBE SOMEDAY,Colleen Hoover,Atria,1476753164,9781476753164,Trade Fiction Paperback,2022-09-25,8
201,THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9781250301703,Trade Fiction Paperback,2022-09-25,56
202,CONFESS,Colleen Hoover,Atria,1476791457,9781476791456,Trade Fiction Paperback,2022-09-25,9
203,BOOK LOVERS,Emily Henry,Berkley,0593334833,9780593334836,Trade Fiction Paperback,2022-09-25,19
