,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2047,BURNOUT,Emily Nagoski and Amelia Nagoski,Ballantine,1984818325,9781984818324,Advice How-To and Miscellaneous,2020-11-22,3
2048,THE PRACTICE,Seth Godin,Portfolio,0593328973,9780593328972,Advice How-To and Miscellaneous,2020-11-22,1
2049,HEROES' FEAST: THE OFFICIAL DUNGEONS & DRAGONS COOKBOOK,"Kyle Newman, Jon Peterson and Michael Witwer, with recipes by Adam Ried",Ten Speed,1984859366,9781984858900,Advice How-To and Miscellaneous,2020-11-22,2
2050,5 MORE SLEEPS 'TIL CHRISTMAS,Jimmy Fallon.,Feiwel & Friends,1250266475,9781250266477,Picture Books,2020-11-22,2
2051,I DISSENT,Debbie Levy,Simon & Schuster,1481465597,9781481465595,Picture Books,2020-11-22,8
2052,THE COUCH POTATO,Jory John,Harper,0062954539,9780062954534,Picture Books,2020-11-22,1
2053,CONSTRUCTION SITE ON CHRISTMAS NIGHT,Sherri Duskey Rinker.,Chronicle,1452139113,9781452139111,Picture Books,2020-11-22,18
2054,THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY,Robb Pearlman,"Little, Brown",0316428388,9780316428385,Picture Books,2020-11-22,6
2055,THE SPIDER WHO SAVED CHRISTMAS,Raymond Arroyo,Sophia Institute,1644132117,9781644132111,Picture Books,2020-11-22,3
2056,I PROMISE,LeBron James,HarperCollins,0062971069,9780062971067,Picture Books,2020-11-22,13
2057,I AM EVERY GOOD THING,Derrick Barnes,Nancy Paulsen,0525518770,9780525518778,Picture Books,2020-11-22,6
2058,HOW TO CATCH A TURKEY,Adam Wallace.,Sourcebooks Jabberwocky,1492664359,9781492664352,Picture Books,2020-11-22,6
2059,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,0385376715,9780385376716,Picture Books,2020-11-22,254
2060,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,1419748688,9781419748684,Series Books,2020-11-22,608
2061,DOG MAN,Dav Pilkey,Scholastic,1338535625,9781338535624,Series Books,2020-11-22,167
2062,HARRY POTTER,J.K. Rowling,Scholastic,1338596705,9781338596700,Series Books,2020-11-22,607
2063,THE TWILIGHT SAGA,Stephenie Meyer,"Little, Brown",031670704X,9780316707046,Series Books,2020-11-22,240
2064,BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators,Scholastic,1338304542,9781338304541,Series Books,2020-11-22,48
2065,THE LAST KIDS ON EARTH,Max Brallier.,Viking,1984835343,9781984835345,Series Books,2020-11-22,52
2066,THE HUNGER GAMES,Suzanne Collins,Scholastic,1338635174,9781338635171,Series Books,2020-11-22,254
2067,THE TRIALS OF APOLLO,Rick Riordan,Disney-Hyperion,1484746457,9781484746455,Series Books,2020-11-22,30
2068,WINGS OF FIRE,Tui T. Sutherland,Scholastic,None,9781338216264,Series Books,2020-11-22,90
2069,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,1524793531,9781524793531,Series Books,2020-11-22,104
2070,THE HATE U GIVE,Angie Thomas,Balzer + Bray,0062498533,9780062498533,Young Adult Hardcover,2020-11-22,193
2071,STAMPED,Jason Reynolds and Ibram X. Kendi,"Little, Brown",0316453692,9780316453691,Young Adult Hardcover,2020-11-22,33
2072,INSTANT KARMA,Marissa Meyer,Feiwel & Friends,1250618819,9781250618818,Young Adult Hardcover,2020-11-22,1
2073,ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9781524714680,Young Adult Hardcover,2020-11-22,145
2074,ALL THIS TIME,Mikki Daughtry and Rachael Lippincott,Simon & Schuster,1534466347,9781534466340,Young Adult Hardcover,2020-11-22,6
2075,KINGDOM OF THE WICKED,Kerri Maniscalco,jimmy patterson,None,9780316706292,Young Adult Hardcover,2020-11-22,2
2076,DEAR JUSTYCE,Nic Stone,Crown,1984829661,9781984829665,Young Adult Hardcover,2020-11-22,6
2077,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896369,9781984896360,Young Adult Hardcover,2020-11-22,22
2078,CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,1250170974,9781250170972,Young Adult Hardcover,2020-11-22,123
2079,THE LOST BOOK OF THE WHITE,Cassandra Clare and Wesley Chu,Margaret K. McElderry,1481495127,9781481495127,Young Adult Hardcover,2020-11-22,9
2080,TROUBLES IN PARADISE,Elin Hilderbrand,"Little, Brown",0316435619,9780316435611,Combined Print and E-Book Fiction,2020-10-25,1
2081,THE SEARCHER,Tana French,Viking,0735224668,9780735224667,Combined Print and E-Book Fiction,2020-10-25,1
2082,THE RETURN,Nicholas Sparks,Grand Central,1538728575,9781538728574,Combined Print and E-Book Fiction,2020-10-25,2
2083,LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,0062667637,9780062667632,Combined Print and E-Book Fiction,2020-10-25,1
2084,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,0765387565,9780765387561,Combined Print and E-Book Fiction,2020-10-25,1
2085,THE EVENING AND THE MORNING,Ken Follett,Viking,0525954988,9780525954989,Combined Print and E-Book Fiction,2020-10-25,4
2086,MAGIC LESSONS,Alice Hoffman,Simon & Schuster,1982108843,9781982108847,Combined Print and E-Book Fiction,2020-10-25,1
2087,ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9781501160837,Combined Print and E-Book Fiction,2020-10-25,5
2088,THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,198481835X,9781984818355,Combined Print and E-Book Fiction,2020-10-25,3
