Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
STORM WATCH,C.J. Box,Putnam,593331303,9.78059E+12,Hardcover Fiction,4/9/2023,4
DEMON COPPERHEAD,Barbara Kingsolver,Harper,63251922,9.78006E+12,Hardcover Fiction,4/9/2023,23
SMOLDER,Laurell K. Hamilton,Berkley,1984804499,9.78198E+12,Hardcover Fiction,4/9/2023,1
REMARKABLY BRIGHT CREATURES,Shel Van Pelt,Ecco,63204150,9.78006E+12,Hardcover Fiction,4/9/2023,10
SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,1984879294,9.78198E+12,Hardcover Fiction,4/9/2023,7
I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai,Viking,593490142,9.78059E+12,Hardcover Fiction,4/9/2023,5
WORTHY OPPONENTS,Danielle Steel,Delacorte,1984821806,9.78198E+12,Hardcover Fiction,4/9/2023,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9.78198E+12,Hardcover Fiction,4/9/2023,25
"POVERTY, BY AMERICA",Matthew Desmond,Crown,593239911,9.78059E+12,Hardcover Nonfiction,4/9/2023,1
SAVED,Benjamin Hall,Harper,63309661,9.78006E+12,Hardcover Nonfiction,4/9/2023,2
SPARE,Prince Harry,Random House,593593804,9.78059E+12,Hardcover Nonfiction,4/9/2023,11
I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9.78198E+12,Hardcover Nonfiction,4/9/2023,33
PARIS,Paris Hilton,Dey Street,63224623,9.78006E+12,Hardcover Nonfiction,4/9/2023,2
THE COURAGE TO BE FREE,Ron DeSantis,Broadside,63276003,9.78006E+12,Hardcover Nonfiction,4/9/2023,4
THE LIGHT WE CARRY,Michelle Obama,Crown,593237463,9.78059E+12,Hardcover Nonfiction,4/9/2023,19
THE BEST STRANGERS IN THE WORLD,Ari Shapiro,HarperOne,63221349,9.78006E+12,Hardcover Nonfiction,4/9/2023,1
THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9.78125E+12,Hardcover Nonfiction,4/9/2023,10
IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,593238710,9.78059E+12,Hardcover Nonfiction,4/9/2023,5
YOUR BRAIN ON ART,Susan Magsamen and Ivy Ross,Random House,593449231,9.78059E+12,Hardcover Nonfiction,4/9/2023,1
ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9.7815E+12,Hardcover Nonfiction,4/9/2023,5
WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",316406600,9.78032E+12,Hardcover Nonfiction,4/9/2023,6
WAKE UP WITH PURPOSE!,Sister Jean Dolores Schmidt with Seth Davis,Harper Select,1400333512,9.7814E+12,Hardcover Nonfiction,4/9/2023,4
CRYING IN H MART,Michelle Zauner,Knopf,525657746,9.78053E+12,Hardcover Nonfiction,4/9/2023,67
IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9.78167E+12,Trade Fiction Paperback,4/9/2023,23
IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9.7815E+12,Trade Fiction Paperback,4/9/2023,99
DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9.78152E+12,Trade Fiction Paperback,4/9/2023,19
NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9.78134E+12,Trade Fiction Paperback,4/9/2023,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9.7815E+12,Trade Fiction Paperback,4/9/2023,107
VERITY,Colleen Hoover,Grand Central,1538724731,9.78154E+12,Trade Fiction Paperback,4/9/2023,85
THE LAST THING HE TOLD ME,Laura Dave,Marysue Rucci,1501171356,9.7815E+12,Trade Fiction Paperback,4/9/2023,1
HEART BONES,Colleen Hoover,Atria,1668021919,9.78167E+12,Trade Fiction Paperback,4/9/2023,8
THE FOUR WINDS,Kristin Hannah,St. Martin's Griffin,1250178614,9.78125E+12,Trade Fiction Paperback,4/9/2023,2
UGLY LOVE,Colleen Hoover,Atria,1476753180,9.78148E+12,Trade Fiction Paperback,4/9/2023,87
THINGS WE NEVER GOT OVER,Lucy Score,Bloom,194563183X,9.78195E+12,Trade Fiction Paperback,4/9/2023,25
THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,172827611X,9.78173E+12,Trade Fiction Paperback,4/9/2023,5
THE PARIS APARTMENT,Lucy Foley,Morrow,63003066,9.78006E+12,Trade Fiction Paperback,4/9/2023,5
THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9.78125E+12,Trade Fiction Paperback,4/9/2023,84
ONE ITALIAN SUMMER,Rebecca Serle,Atria,1982166800,9.78198E+12,Trade Fiction Paperback,4/9/2023,2
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,143127748,9.78014E+12,Paperback Nonfiction,4/9/2023,231
ALL ABOUT LOVE,bell hooks,Morrow,60959479,9.78006E+12,Paperback Nonfiction,4/9/2023,68
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9.78157E+12,Paperback Nonfiction,4/9/2023,154
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",374533555,9.78037E+12,Paperback Nonfiction,4/9/2023,355
THE ANTHROPOCENE REVIEWED,John Green,Dutton,525555242,9.78053E+12,Paperback Nonfiction,4/9/2023,1
CASTE,Isabel Wilkerson,Random House,593230272,9.78059E+12,Paperback Nonfiction,4/9/2023,6
EVICTED,Matthew Desmond,Broadway,553447459,9.78055E+12,Paperback Nonfiction,4/9/2023,43
EDUCATED,Tara Westover,Random House,399590528,9.7804E+12,Paperback Nonfiction,4/9/2023,45
TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,316299227,9.78032E+12,Paperback Nonfiction,4/9/2023,78
SOUTH TO AMERICA,Imani Perry,Ecco,62977377,9.78006E+12,Paperback Nonfiction,4/9/2023,4
THE NINETIES,Chuck Klosterman,Penguin,735217963,9.78074E+12,Paperback Nonfiction,4/9/2023,8
GRIT,Angela Duckworth,Scribner,1501111116,9.7815E+12,Paperback Nonfiction,4/9/2023,140
EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,62968793,9.78006E+12,Paperback Nonfiction,4/9/2023,1
KILLERS OF THE FLOWER MOON,David Grann,Vintage,307742482,9.78031E+12,Paperback Nonfiction,4/9/2023,108
DOPAMINE NATION,Anna Lembke,Dutton,1524746746,9.78152E+12,Paperback Nonfiction,4/9/2023,8
ATOMIC HABITS,James Clear,Avery,735211299,9.78074E+12,Advice How-To and Miscellaneous,4/9/2023,174
THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,593652886,9.78059E+12,Advice How-To and Miscellaneous,4/9/2023,10
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,62976583,9.78006E+12,Advice How-To and Miscellaneous,4/9/2023,173
YOUNG FOREVER,Mark Hyman,"Little, Brown Spark",316453188,9.78032E+12,Advice How-To and Miscellaneous,4/9/2023,5
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,62457713,9.78006E+12,Advice How-To and Miscellaneous,4/9/2023,291
8 RULES OF LOVE,Jay Shetty,Simon & Schuster,1982183063,9.78198E+12,Advice How-To and Miscellaneous,4/9/2023,8
ATLAS OF THE HEART,Brené Brown,Random House,399592555,9.7804E+12,Advice How-To and Miscellaneous,4/9/2023,56
EAT TO BEAT YOUR DIET,William W. Li,Balance,1538753901,9.78154E+12,Advice How-To and Miscellaneous,4/9/2023,1
CAN'T HURT ME,David Goggins,Lioncrest,1544512279,9.78154E+12,Advice How-To and Miscellaneous,4/9/2023,36
DARE TO LEAD,Brené Brown,Random House,399592520,9.7804E+12,Advice How-To and Miscellaneous,4/9/2023,72
HOW TO CATCH THE EASTER BUNNY,Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,149263817X,9.78149E+12,Picture Books,4/9/2023,22
LITTLE DAYMOND LEARNS TO EARN,Daymond John.,Random House,593567277,9.78059E+12,Picture Books,4/9/2023,1
PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean,HarperFestival,006219867X,9.78006E+12,Picture Books,4/9/2023,40
THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,Jory John.,HarperCollins,62975676,9.78006E+12,Picture Books,4/9/2023,19
DRAGONS LOVE TACOS,Adam Rubin.,Dial,803736800,9.7808E+12,Picture Books,4/9/2023,391
HAPPY EASTER FROM THE CRAYONS,Drew Daywalt.,Philomel,593621050,9.78059E+12,Picture Books,4/9/2023,1
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,385376715,9.78039E+12,Picture Books,4/9/2023,345
THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,399255370,9.7804E+12,Picture Books,4/9/2023,353
THE BOOK WITH NO PICTURES,B.J. Novak,Dial,803741715,9.7808E+12,Picture Books,4/9/2023,179
THE SOUR GRAPE,Jory John and Pete Oswald,HarperCollins,63045419,9.78006E+12,Picture Books,4/9/2023,12
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896393,9.78198E+12,Series Books,4/9/2023,78
DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,141976294X,9.78142E+12,Series Books,4/9/2023,732
THE HUNGER GAMES,Suzanne Collins,Scholastic,1338635174,9.78134E+12,Series Books,4/9/2023,268
HARRY POTTER,J.K. Rowling,Scholastic,059035342X,9.78059E+12,Series Books,4/9/2023,731
SHADOW AND BONE TRILOGY,Leigh Bardugo,Square Fish,125019623X,9.78125E+12,Series Books,4/9/2023,38
CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,1338865390,9.78134E+12,Series Books,4/9/2023,308
THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",759555400,9.78076E+12,Series Books,4/9/2023,30
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1484707230,9.78148E+12,Series Books,4/9/2023,666
THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,1416968296,9.78142E+12,Series Books,4/9/2023,49
WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,448483203,9.78045E+12,Series Books,4/9/2023,137
FIVE SURVIVE,Holly Jackson,Delacorte,593374169,9.78059E+12,Young Adult Hardcover,4/9/2023,17
NICK AND CHARLIE,Alice Oseman,Scholastic,1338885103,9.78134E+12,Young Adult Hardcover,4/9/2023,12
THE STOLEN HEIR,Holly Black,"Little, Brown",316592706,9.78032E+12,Young Adult Hardcover,4/9/2023,12
LIGHTLARK,Alex Aster,Amulet,1419760866,9.78142E+12,Young Adult Hardcover,4/9/2023,31
THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,63240807,9.78006E+12,Young Adult Hardcover,4/9/2023,25
SHE IS A HAUNTING,Trang Thanh Tran,Bloomsbury,None,9.78155E+12,Young Adult Hardcover,4/9/2023,4
A THOUSAND HEARTBEATS,Kiera Cass,HarperTeen,62665782,9.78006E+12,Young Adult Hardcover,4/9/2023,14
THE DAVENPORTS,Krystal Marquis,Dial,593463331,9.78059E+12,Young Adult Hardcover,4/9/2023,8
THE SINISTER BOOKSELLERS OF BATH,Garth Nix,HarperTeen,63236338,9.78006E+12,Young Adult Hardcover,4/9/2023,1
LOVELESS,Alice Oseman,Scholastic,133875193X,9.78134E+12,Young Adult Hardcover,4/9/2023,33
STORM WATCH,C.J. Box,Putnam,593331311,9.78059E+12,Combined Print and E-Book Fiction,3/19/2023,1
NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9.78134E+12,Combined Print and E-Book Fiction,3/19/2023,1
IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9.78167E+12,Combined Print and E-Book Fiction,3/19/2023,20
LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9.78039E+12,Combined Print and E-Book Fiction,3/19/2023,17
IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9.7815E+12,Combined Print and E-Book Fiction,3/19/2023,90
DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9.78152E+12,Combined Print and E-Book Fiction,3/19/2023,9
VERITY,Colleen Hoover,Grand Central,1538724731,9.78154E+12,Combined Print and E-Book Fiction,3/19/2023,65
HEART BONES,Colleen Hoover,Atria,1668021919,9.78167E+12,Combined Print and E-Book Fiction,3/19/2023,5
A DAY OF FALLEN NIGHT,Samantha Shannon,Bloomsbury,1635577926,9.78164E+12,Combined Print and E-Book Fiction,3/19/2023,1
THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,172827611X,9.78173E+12,Combined Print and E-Book Fiction,3/19/2023,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9.7815E+12,Combined Print and E-Book Fiction,3/19/2023,87
"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,593321200,9.78059E+12,Combined Print and E-Book Fiction,3/19/2023,12
UGLY LOVE,Colleen Hoover,Atria,1476753180,9.78148E+12,Combined Print and E-Book Fiction,3/19/2023,60
THE PARIS APARTMENT,Lucy Foley,Morrow,63003066,9.78006E+12,Combined Print and E-Book Fiction,3/19/2023,12
SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,1984879308,9.78198E+12,Combined Print and E-Book Fiction,3/19/2023,4
THE COURAGE TO BE FREE,Ron DeSantis,Broadside,63276003,9.78006E+12,Combined Print and E-Book Nonfiction,3/19/2023,1
SPARE,Prince Harry,Random House,593593804,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,8
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,143127748,9.78014E+12,Combined Print and E-Book Nonfiction,3/19/2023,132
I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9.78198E+12,Combined Print and E-Book Nonfiction,3/19/2023,30
ENCHANTMENT,Katherine May,Riverhead,593329996,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,1
THE LIGHT WE CARRY,Michelle Obama,Crown,593237463,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,16
IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,593238710,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,2
ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9.7815E+12,Combined Print and E-Book Nonfiction,3/19/2023,2
WAKE UP WITH PURPOSE!,Sister Jean Dolores Schmidt with Seth Davis,Harper Select,1400333512,9.7814E+12,Combined Print and E-Book Nonfiction,3/19/2023,1
WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",316406600,9.78032E+12,Combined Print and E-Book Nonfiction,3/19/2023,4
ALL ABOUT LOVE,bell hooks,Morrow,60959479,9.78006E+12,Combined Print and E-Book Nonfiction,3/19/2023,39
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9.78157E+12,Combined Print and E-Book Nonfiction,3/19/2023,69
CASTE,Isabel Wilkerson,Random House,593230272,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,60
THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9.78125E+12,Combined Print and E-Book Nonfiction,3/19/2023,8
THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,593230574,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,29
STORM WATCH,C.J. Box,Putnam,593331303,9.78059E+12,Hardcover Fiction,3/19/2023,1
LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9.78039E+12,Hardcover Fiction,3/19/2023,43
A DAY OF FALLEN NIGHT,Samantha Shannon,Bloomsbury,1635577926,9.78164E+12,Hardcover Fiction,3/19/2023,1
"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,593321200,9.78059E+12,Hardcover Fiction,3/19/2023,23
I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai,Viking,593490142,9.78059E+12,Hardcover Fiction,3/19/2023,2
SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,1984879294,9.78198E+12,Hardcover Fiction,3/19/2023,4
DEMON COPPERHEAD,Barbara Kingsolver,Harper,63251922,9.78006E+12,Hardcover Fiction,3/19/2023,20
THE ADVENTURES OF AMINA AL-SIRAFI,Shannon Chakraborty,Harper Voyager,62963503,9.78006E+12,Hardcover Fiction,3/19/2023,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9.78198E+12,Hardcover Fiction,3/19/2023,22
THE BOYS FROM BILOXI,John Grisham,Doubleday,385548923,9.78039E+12,Hardcover Fiction,3/19/2023,20
REMARKABLY BRIGHT CREATURES,Shel Van Pelt,Ecco,63204150,9.78006E+12,Hardcover Fiction,3/19/2023,7
THE MIDNIGHT LIBRARY,Matt Haig,Viking,525559477,9.78053E+12,Hardcover Fiction,3/19/2023,106
FAIRY TALE,Stephen King,Scribner,1668002175,9.78167E+12,Hardcover Fiction,3/19/2023,26
THE HOUSE IN THE PINES,Ana Reyes,Dutton,593186710,9.78059E+12,Hardcover Fiction,3/19/2023,9
MURDER YOUR EMPLOYER,Rupert Holmes,Avid Reader,1451648219,9.78145E+12,Hardcover Fiction,3/19/2023,2
THE COURAGE TO BE FREE,Ron DeSantis,Broadside,63276003,9.78006E+12,Hardcover Nonfiction,3/19/2023,1
SPARE,Prince Harry,Random House,593593804,9.78059E+12,Hardcover Nonfiction,3/19/2023,8
I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9.78198E+12,Hardcover Nonfiction,3/19/2023,30
THE LIGHT WE CARRY,Michelle Obama,Crown,593237463,9.78059E+12,Hardcover Nonfiction,3/19/2023,16
ENCHANTMENT,Katherine May,Riverhead,593329996,9.78059E+12,Hardcover Nonfiction,3/19/2023,1
IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,593238710,9.78059E+12,Hardcover Nonfiction,3/19/2023,2
WAKE UP WITH PURPOSE!,Sister Jean Dolores Schmidt with Seth Davis,Harper Select,1400333512,9.7814E+12,Hardcover Nonfiction,3/19/2023,1
ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,1496472675,9.7815E+12,Hardcover Nonfiction,3/19/2023,2
WALK THE BLUE LINE,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown",316406600,9.78032E+12,Hardcover Nonfiction,3/19/2023,3
THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9.78125E+12,Hardcover Nonfiction,3/19/2023,8
THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,593230574,9.78059E+12,Hardcover Nonfiction,3/19/2023,35
THE MYTH OF NORMAL,Gabor Maté with Daniel Maté,Avery,593083881,9.78059E+12,Hardcover Nonfiction,3/19/2023,17
NEVER GIVE AN INCH,Mike Pompeo,Broadside,63247445,9.78006E+12,Hardcover Nonfiction,3/19/2023,6
"LOVE, PAMELA",Pamela Anderson,Dey Street,63226561,9.78006E+12,Hardcover Nonfiction,3/19/2023,5
THE HUMANITY ARCHIVE,Jermaine Fowler,Row House,1955905142,9.78196E+12,Hardcover Nonfiction,3/19/2023,1
NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9.78134E+12,Trade Fiction Paperback,3/19/2023,1
IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9.78167E+12,Trade Fiction Paperback,3/19/2023,20
IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9.7815E+12,Trade Fiction Paperback,3/19/2023,96
DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9.78152E+12,Trade Fiction Paperback,3/19/2023,16
HEART BONES,Colleen Hoover,Atria,1668021919,9.78167E+12,Trade Fiction Paperback,3/19/2023,5
THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,172827611X,9.78173E+12,Trade Fiction Paperback,3/19/2023,2
VERITY,Colleen Hoover,Grand Central,1538724731,9.78154E+12,Trade Fiction Paperback,3/19/2023,82
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9.7815E+12,Trade Fiction Paperback,3/19/2023,104
THE PARIS APARTMENT,Lucy Foley,Morrow,63003066,9.78006E+12,Trade Fiction Paperback,3/19/2023,2
UGLY LOVE,Colleen Hoover,Atria,1476753180,9.78148E+12,Trade Fiction Paperback,3/19/2023,84
THINGS WE NEVER GOT OVER,Lucy Score,Bloom,194563183X,9.78195E+12,Trade Fiction Paperback,3/19/2023,22
THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9.78125E+12,Trade Fiction Paperback,3/19/2023,81
9-Nov,Colleen Hoover,Atria,1501110349,9.7815E+12,Trade Fiction Paperback,3/19/2023,68
ICEBREAKER,Hannah Grace,Atria,1668026031,9.78167E+12,Trade Fiction Paperback,3/19/2023,4
THE MAID,Nita Prose,Ballantine,593356179,9.78059E+12,Trade Fiction Paperback,3/19/2023,8
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,143127748,9.78014E+12,Paperback Nonfiction,3/19/2023,228
ALL ABOUT LOVE,bell hooks,Morrow,60959479,9.78006E+12,Paperback Nonfiction,3/19/2023,65
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9.78157E+12,Paperback Nonfiction,3/19/2023,151
CASTE,Isabel Wilkerson,Random House,593230272,9.78059E+12,Paperback Nonfiction,3/19/2023,3
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",374533555,9.78037E+12,Paperback Nonfiction,3/19/2023,352
STOLEN FOCUS,Johann Hari,Crown,593138538,9.78059E+12,Paperback Nonfiction,3/19/2023,2
THE NINETIES,Chuck Klosterman,Penguin,735217963,9.78074E+12,Paperback Nonfiction,3/19/2023,5
LUCK OF THE DRAW,Frank Murphy,St. Martin's Griffin,1250866898,9.78125E+12,Paperback Nonfiction,3/19/2023,1
QUIET,Susan Cain,Broadway,307352153,9.78031E+12,Paperback Nonfiction,3/19/2023,179
TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,316299227,9.78032E+12,Paperback Nonfiction,3/19/2023,75
SOUTH TO AMERICA,Imani Perry,Ecco,62977377,9.78006E+12,Paperback Nonfiction,3/19/2023,1
