,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2815,THE GLASS CASTLE,Jeannette Walls,Scribner,074324754X,9780743247542,Paperback Nonfiction,2018-06-10,422
2816,OUTLIERS,Malcolm Gladwell,"Back Bay/Little, Brown",0316017930,9780316017930,Paperback Nonfiction,2018-06-10,254
2817,THE DEVIL IN THE WHITE CITY,Erik Larson,Vintage,0375725601,9780375725609,Paperback Nonfiction,2018-06-10,360
2818,THE NEW JIM CROW,Michelle Alexander,New Press,1595586431,9781595586438,Paperback Nonfiction,2018-06-10,175
2819,QUIET,Susan Cain,Broadway,0307352153,9780307352156,Paperback Nonfiction,2018-06-10,161
2820,MAGNOLIA TABLE,Joanna Gaines with Marah Stets,Morrow,006282015X,9780062820150,Advice How-To and Miscellaneous,2018-06-10,5
2821,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,HarperOne/HarperCollins,0062457713,9780062457714,Advice How-To and Miscellaneous,2018-06-10,76
2822,YOU ARE A BADASS,Jen Sincero,Running Press,0762447699,9780762447695,Advice How-To and Miscellaneous,2018-06-10,124
2823,"GIRL, WASH YOUR FACE",Rachel Hollis,Thomas Nelson,1400201659,9781400201655,Advice How-To and Miscellaneous,2018-06-10,7
2824,THE FIVE LOVE LANGUAGES,Gary Chapman,Northfield,080241270X,9780802412706,Advice How-To and Miscellaneous,2018-06-10,244
2825,MAKE YOUR BED,William H. McRaven,Grand Central,1455570249,9781455570249,Advice How-To and Miscellaneous,2018-06-10,47
2826,I'VE BEEN THINKING ...,Maria Shriver,Pamela Dorman/Viking,0525522603,9780525522607,Advice How-To and Miscellaneous,2018-06-10,13
2827,EVERYBODY ALWAYS,Bob Goff,Thomas Nelson,0718078136,9780718078133,Advice How-To and Miscellaneous,2018-06-10,6
2828,PRINCIPLES,Ray Dalio,Simon & Schuster,1501124021,9781501124020,Advice How-To and Miscellaneous,2018-06-10,26
2829,GETTING BACK TO HAPPY,Marc Chernoff and Angel Chernoff,TarcherPerigee,0525504664,9780525504665,Advice How-To and Miscellaneous,2018-06-10,1
2830,A DAY IN THE LIFE OF MARLON BUNDO,Marlon Bundo with Jill Twiss,Chronicle,145217380X,9781452173801,Picture Books,2018-06-10,10
2831,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,0385376715,9780385376716,Picture Books,2018-06-10,135
2832,I WISH YOU MORE,Amy Krouse Rosenthal.,Chronicle,1452126992,9781452126999,Picture Books,2018-06-10,37
2833,"ROSIE REVERE, ENGINEER",Andrea Beaty,Abrams,1419708457,9781419708459,Picture Books,2018-06-10,129
2834,WHAT DO YOU DO WITH AN IDEA?,Kobi Yamada.,Compendium,1938298071,9781938298073,Picture Books,2018-06-10,38
2835,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,Eric Carle,Grosset & Dunlap,152478589X,9781524785895,Picture Books,2018-06-10,2
2836,DRAGONS LOVE TACOS,Adam Rubin.,Dial,0803736800,9780803736801,Picture Books,2018-06-10,222
2837,DEAR GIRL,Amy Krouse Rosenthal and Paris Rosenthal.,HarperCollins,0062422502,9780062422507,Picture Books,2018-06-10,12
2838,LLAMA LLAMA LOVES TO READ,Anna Dewdney and Reed Duncan,Viking,0670013978,9780670013975,Picture Books,2018-06-10,4
2839,AN ELEPHANT AND PIGGIE BIGGIE!,Mo Willems,Hyperion/Disney,1484799674,9781484799673,Picture Books,2018-06-10,5
