,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
2835,HEROES OF OLYMPUS,Rick Riordan,Disney Publishing Worldwide,1423146727,9.78142E+12,Series Books,6/1/2014,72,,
2836,I'VE GOT YOU UNDER MY SKIN,Mary Higgins Clark,Simon & Schuster,147674906X,9.78148E+12,Hardcover Fiction,5/4/2014,3,,
2837,NYPD RED 2,James Patterson and Marshall Karp,"Little, Brown",316211230,9.78032E+12,Hardcover Fiction,5/4/2014,4,,
2838,KEEP QUIET,Lisa Scottoline,St. Martin's,1250010098,9.78125E+12,Hardcover Fiction,5/4/2014,2,,
2839,CARNAL CURIOSITY,Stuart Woods,Putnam,399164162,9.7804E+12,Hardcover Fiction,5/4/2014,2,,
2840,MISSING YOU,Harlan Coben,Dutton,525953493,9.78053E+12,Hardcover Fiction,5/4/2014,5,,
2841,GONE GIRL,Gillian Flynn,Crown,030758836X,9.78031E+12,Hardcover Fiction,5/4/2014,80,,
2842,SYCAMORE ROW,John Grisham,Doubleday,385537131,9.78039E+12,Hardcover Fiction,5/4/2014,22,,
2843,THE KING,J R Ward,New American Library,451417054,9.78045E+12,Hardcover Fiction,5/4/2014,3,,
2844,BE CAREFUL WHAT YOU WISH FOR,Jeffrey Archer,St. Martin's,1250034485,9.78125E+12,Hardcover Fiction,5/4/2014,6,,
2845,FROG MUSIC,Emma Donoghue,"Little, Brown",031632468X,9.78032E+12,Hardcover Fiction,5/4/2014,3,,
2846,THE STORIED LIFE OF A. J. FIKRY,Gabrielle Zevin,Algonquin,1616203218,9.78162E+12,Hardcover Fiction,5/4/2014,1,,
2847,WORDS OF RADIANCE,Brandon Sanderson,Tor/Tom Doherty,765326361,9.78077E+12,Hardcover Fiction,5/4/2014,6,,
2848,BLOSSOM STREET BRIDES,Debbie Macomber,Ballantine,345528840,9.78035E+12,Hardcover Fiction,5/4/2014,0,,
2849,WILLIAM SHAKESPEARE'S THE EMPIRE STRIKETH BACK,Ian Doescher,Quirk Books,1594747156,9.78159E+12,Hardcover Fiction,5/4/2014,0,,
2850,IN PARADISE,Peter Matthiessen,Riverhead,1594633177,9.78159E+12,Hardcover Fiction,5/4/2014,0,,
2851,WARRIORS,Ted Bell,Morrow/HarperCollins,62279386,9.78006E+12,Hardcover Fiction,5/4/2014,0,,
2852,PLAYERS FIRST,John Calipari and Michael Sokolove,Penguin Press,1594205736,9.78159E+12,Hardcover Nonfiction,5/4/2014,1,,
2853,THE DIVIDE,Matt Taibbi,Spiegel & Grau,081299342X,9.78081E+12,Hardcover Nonfiction,5/4/2014,2,,
2854,10% HAPPIER,Dan Harris,It Books,62265423,9.78006E+12,Hardcover Nonfiction,5/4/2014,6,,
2855,FACE THE MUSIC,Paul Stanley,HarperOne,62114042,9.78006E+12,Hardcover Nonfiction,5/4/2014,2,,
2856,UGANDA BE KIDDING ME,Chelsea Handler,Grand Central,1455599735,9.78146E+12,Hardcover Nonfiction,5/4/2014,6,,
2857,CALL TO ACTION,Jimmy Carter,Simon & Schuster,1476773955,9.78148E+12,Hardcover Nonfiction,5/4/2014,4,,
2858,"CREATIVITY, INC",Ed Catmull with Amy Wallace,Random House,812993012,9.78081E+12,Hardcover Nonfiction,5/4/2014,2,,
2859,LOVE LIFE,Rob Lowe,Simon & Schuster,1451685718,9.78145E+12,Hardcover Nonfiction,5/4/2014,2,,
2860,NOT COOL,Greg Gutfeld,Crown Forum,804138532,9.7808E+12,Hardcover Nonfiction,5/4/2014,0,,
2861,AN INQUIRY INTO THE NATURE AND CAUSES OF THE WEALTH OF STATES,"Arthur B Laffer, Stephen Moore, Rex A Sinquefield, Travis H Brown",Wiley,1118921224,9.78112E+12,Hardcover Nonfiction,5/4/2014,0,,
2862,STRONGER,Jeff Bauman with Bret Witter,Grand Central,1455584371,9.78146E+12,Hardcover Nonfiction,5/4/2014,0,,
2863,WHISKEY BEACH,Nora Roberts,Berkley,425269817,9.78043E+12,Trade Fiction Paperback,5/4/2014,3,,
2864,THE BURGESS BOYS,Elizabeth Strout,Random House,812979516,9.78081E+12,Trade Fiction Paperback,5/4/2014,2,,
2865,THE INTERESTINGS,Meg Wolitzer,Riverhead,1594632340,9.78159E+12,Trade Fiction Paperback,5/4/2014,4,,
2866,A TALE FOR THE TIME BEING,Ruth Ozeki,Penguin,143124870,9.78014E+12,Trade Fiction Paperback,5/4/2014,4,,
2867,BEAUTIFUL DAY,Elin Hilderbrand,"Back Bay/Little, Brown",316099767,9.78032E+12,Trade Fiction Paperback,5/4/2014,6,,
2868,FOUR FRIENDS,Ron Carr,Harlequin Mira,778316815,9.78078E+12,Trade Fiction Paperback,5/4/2014,4,,
2869,THE WHITE PRINCESS,Philippa Gregory,Touchstone,145162610X,9.78145E+12,Trade Fiction Paperback,5/4/2014,2,,
2870,THE EMPATHY EXAMS,Leslie Jamison,Graywolf,1555976719,9.78156E+12,Paperback Nonfiction,5/4/2014,3,,
2871,THE WOLF OF WALL STREET,Jordan Belfort,Bantam,345549333,9.78035E+12,Paperback Nonfiction,5/4/2014,19,,
2872,THE GIRLS OF ATOMIC CITY,Denise Kiernan,Touchstone,1451617534,9.78145E+12,Paperback Nonfiction,5/4/2014,6,,
2873,THE PLANTAGENETS,Dan Jones,Penguin,143124927,9.78014E+12,Paperback Nonfiction,5/4/2014,2,,
2874,GULP,Mary Roach,Norton,393348741,9.78039E+12,Paperback Nonfiction,5/4/2014,3,,
2875,HEAVEN IS FOR REAL FOR KIDS,Todd and Sonja Burpo,Tommy Nelson,140031870X,9.7814E+12,Picture Books,5/4/2014,23,,
2876,HERE COMES THE EASTER CAT,Deborah Underwood,Dial,803739397,9.7808E+12,Picture Books,5/4/2014,1,,
2877,FANCY NANCY AND THE WEDDING OF THE CENTURY,Jane O'Connor,HarperCollins,62083198,9.78006E+12,Picture Books,5/4/2014,2,,
2878,BIG NATE,Lincoln Peirce,HarperCollins Publishers,61996653,9.78006E+12,Series Books,5/4/2014,92,,
2879,RAISING STEAM,Terry Pratchett,Doubleday,038553826X,9.78039E+12,Hardcover Fiction,4/6/2014,1,,
2880,POWER PLAY,Danielle Steel,Delacorte,345530918,9.78035E+12,Hardcover Fiction,4/6/2014,2,,
2881,THE BOOTLEGGER,Clive Cussler and Justin Scott,Putnam,399167293,9.7804E+12,Hardcover Fiction,4/6/2014,3,,
2882,STONE COLD,C J Box,Putnam,399160760,9.7804E+12,Hardcover Fiction,4/6/2014,2,,
2883,NIGHT BROKEN,Patricia Briggs,Ace,042525674X,9.78043E+12,Hardcover Fiction,4/6/2014,2,,
2884,THE AUSCHWITZ ESCAPE,Joel C Rosenberg,Tyndale House,1414336241,9.78141E+12,Hardcover Fiction,4/6/2014,1,,
2885,THE CAIRO AFFAIR,Olen Steinhauer,Minotaur,1250036135,9.78125E+12,Hardcover Fiction,4/6/2014,1,,
2886,YOU SHOULD HAVE KNOWN,Jean Hanff Korelitz,Grand Central,1455599492,9.78146E+12,Hardcover Fiction,4/6/2014,1,,
2887,NIGHT OF THE HUNTER,R A Salvatore,Wizards of the Coast,786965118,9.78079E+12,Hardcover Fiction,4/6/2014,1,,
2888,THE CHASE,Janet Evanovich and Lee Goldberg,Bantam,345543084,9.78035E+12,Hardcover Fiction,4/6/2014,0,,
2889,PRIVATE L.A.,James Patterson and Mark Sullivan,"Little, Brown",316211125,9.78032E+12,Hardcover Fiction,4/6/2014,0,,
2890,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,Random House,1400065755,9.7814E+12,Hardcover Fiction,4/6/2014,0,,
2891,THE PROMISE OF A PENCIL,Adam Braun with Carlye Adler,Scribner,1476730628,9.78148E+12,Hardcover Nonfiction,4/6/2014,1,4,8
2892,THE FUTURE OF THE MIND,Michio Kaku,Doubleday,038553082X,9.78039E+12,Hardcover Nonfiction,4/6/2014,4,,
2893,THE STORY OF THE JEWS,Simon Schama,Ecco/HarperCollins,60539186,9.78006E+12,Hardcover Nonfiction,4/6/2014,1,,
2894,YOU MUST REMEMBER THIS,Robert J Wagner with Scott Eyman,Viking,670026093,9.78067E+12,Hardcover Nonfiction,4/6/2014,2,,
2895,DUTY,Robert M Gates,Knopf,307959473,9.78031E+12,Hardcover Nonfiction,4/6/2014,10,,
2896,JESUS,James Martin,HarperOne/HarperCollins,006202423X,9.78006E+12,Hardcover Nonfiction,4/6/2014,2,,
2897,WHERE NOBODY KNOWS YOUR NAME,John Feinstein,Doubleday,385535937,9.78039E+12,Hardcover Nonfiction,4/6/2014,2,,
2898,GEORGE WASHINGTON'S SECRET SIX,Brian Kilmeade and Don Yaeger,Sentinel,159523103X,9.7816E+12,Hardcover Nonfiction,4/6/2014,0,,
2899,THE SIXTH EXTINCTION,Elizabeth Kolbert,Holt,805092994,9.78081E+12,Hardcover Nonfiction,4/6/2014,0,,
2900,OVERWHELMED,Brigid Schulte,"Sarah Crichton/Farrar, Straus & Giroux",374228442,9.78037E+12,Hardcover Nonfiction,4/6/2014,0,,
2901,HOUSE OF OUTRAGEOUS FORTUNE,Michael Gross,Atria,1451666195,9.78145E+12,Hardcover Nonfiction,4/6/2014,0,,
2902,MISTRESS,James Patterson and David Ellis,Grand Central,1455515892,9.78146E+12,Trade Fiction Paperback,4/6/2014,2,,
2903,AFTERBURN / AFTERSHOCK,Sylvia Day,Harlequin,373622430,9.78037E+12,Trade Fiction Paperback,4/6/2014,2,,
2904,DON'T GO,Lisa Scottoline,St. Martin's Griffin,125001008X,9.78125E+12,Trade Fiction Paperback,4/6/2014,3,,
2905,LIFE AFTER LIFE,Kate Atkinson,"Back Bay/Little, Brown",316176494,9.78032E+12,Trade Fiction Paperback,4/6/2014,11,,
2906,COCKROACHES,Jo Nesbo,Vintage Crime/Black Lizard,345807154,9.78035E+12,Trade Fiction Paperback,4/6/2014,6,,
2907,A WEEK IN WINTER,Maeve Binchy,Anchor,307475506,9.78031E+12,Trade Fiction Paperback,4/6/2014,11,,
2908,Z,Therese Anne Fowler,St. Martin's Griffin,1250028663,9.78125E+12,Trade Fiction Paperback,4/6/2014,2,,
2909,THE SECRET HISTORY,Donna Tartt,Vintage,1400031702,9.7814E+12,Trade Fiction Paperback,4/6/2014,3,,
2910,THE AVIATOR'S WIFE,Melanie Benjamin,Bantam,345528689,9.78035E+12,Trade Fiction Paperback,4/6/2014,7,,
2911,THE HARBINGER,Jonathan Cahn,FrontLine,161638610X,9.78162E+12,Trade Fiction Paperback,4/6/2014,102,,
2912,THE SLEEPWALKERS,Christopher Clark,Harper Perennial,61146668,9.78006E+12,Paperback Nonfiction,4/6/2014,1,,
2913,PHILOMENA,Martin Sixsmith,Penguin,143124722,9.78014E+12,Paperback Nonfiction,4/6/2014,10,,
2914,AMERICA THE BEAUTIFUL,Ben C Carson and Candy Carson,Zondervan,310330912,9.78031E+12,Paperback Nonfiction,4/6/2014,46,,
2915,GOODNIGHT SONGS,Margaret Wise Brown,Sterling,1454904461,9.78145E+12,Picture Books,4/6/2014,2,,
2916,WHAT DOES THE FOX SAY?,Ylvis,Simon & Schuster,1481422235,9.78148E+12,Picture Books,4/6/2014,15,,
2917,DIVERGENT,Veronica Roth,HarperCollins Publishers,62077015,9.78006E+12,Series Books,4/6/2014,22,,
2918,THE MAZE RUNNER,James Dashner,Random House Publishing,375893776,9.78038E+12,Series Books,4/6/2014,76,,
2919,ORIGAMI YODA,Tom Angleberger,Abrams Books,1419710524,9.78142E+12,Series Books,4/6/2014,22,,
2920,BANE CHRONICLES,"Cassandra Clare, Maureen Johnson and Sarah Rees Brennan",Simon & Schuster,1442495634,9.78144E+12,Series Books,4/6/2014,5,,
2921,CONCEALED IN DEATH,J D Robb,Putnam,039916443X,9.7804E+12,Hardcover Fiction,3/9/2014,1,,
2922,LIKE A MIGHTY ARMY,David Weber,Tor/Tom Doherty,765321564,9.78077E+12,Hardcover Fiction,3/9/2014,1,,
2923,ONE MORE THING,B J Novak,Knopf,385351836,9.78039E+12,Hardcover Fiction,3/9/2014,3,,
2924,KILLER,Jonathan Kellerman,Ballantine,345505751,9.78035E+12,Hardcover Fiction,3/9/2014,2,,
2925,MOVING TARGET,J A Jance,Touchstone,1476745005,9.78148E+12,Hardcover Fiction,3/9/2014,1,,
2926,THE MARTIAN,Andy Weir,Crown,804139024,9.7808E+12,Hardcover Fiction,3/9/2014,2,,
2927,THE COUNTERFEIT AGENT,Alex Berenson,Putnam,399159738,9.7804E+12,Hardcover Fiction,3/9/2014,2,,
2928,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,Harper,62294377,9.78006E+12,Hardcover Fiction,3/9/2014,15,,
2929,THE MUSEUM OF EXTRAORDINARY THINGS,Alice Hoffman,Scribner,1451693567,9.78145E+12,Hardcover Fiction,3/9/2014,1,,
2930,S.,Doug Dorst,"Mulholland/Little, Brown",316201642,9.78032E+12,Hardcover Fiction,3/9/2014,10,,
2931,AFTER I'M GONE,Laura Lippman,Morrow,62083392,9.78006E+12,Hardcover Fiction,3/9/2014,0,,
2932,FIRST LOVE,James Patterson and Emily Raymond,"Little, Brown",316207047,9.78032E+12,Hardcover Fiction,3/9/2014,0,3.5,18
2933,THE WINTER PEOPLE,Jennifer McMahon,Doubleday,385538499,9.78039E+12,Hardcover Fiction,3/9/2014,0,,
2934,GLITTER AND GLUE,Kelly Corrigan,Ballantine,034553283X,9.78035E+12,Hardcover Nonfiction,3/9/2014,3,,
2935,ONE WAY OUT,Alan Paul,St. Martin's,1250040493,9.78125E+12,Hardcover Nonfiction,3/9/2014,1,,
2936,HRC,Jonathan Allen and Amie Parnes,Crown,804136750,9.7808E+12,Hardcover Nonfiction,3/9/2014,2,,
2937,YOUNG MONEY,Kevin Roose,Grand Central,446583251,9.78045E+12,Hardcover Nonfiction,3/9/2014,1,,
2938,THE BOYS IN THE BOAT,Daniel James Brown,Viking,067002581X,9.78067E+12,Hardcover Nonfiction,3/9/2014,17,,
2939,ALL JOY AND NO FUN,Jennifer Senior,Ecco/HarperCollins,62072226,9.78006E+12,Hardcover Nonfiction,3/9/2014,3,,
2940,DRINKING AND DATING,Brandi Glanville with Leslie Bruce,HarperOne/HarperCollins,62296310,9.78006E+12,Hardcover Nonfiction,3/9/2014,0,,
2941,TRIPLE PACKAGE,Amy Chua and Jed Rubenfeld,Penguin Press,1594205469,9.78159E+12,Hardcover Nonfiction,3/9/2014,0,,
2942,THE SECOND MACHINE AGE,Erik Brynjolfsson and Andrew McAfee,Norton,393239357,9.78039E+12,Hardcover Nonfiction,3/9/2014,0,,
2943,ZEALOT,Reza Aslan,Random House,140006922X,9.7814E+12,Hardcover Nonfiction,3/9/2014,0,,
2944,WINTER'S TALE,Mark Helprin,Mariner/Houghton Mifflin Harcourt,544320425,9.78054E+12,Trade Fiction Paperback,3/9/2014,5,,
2945,THE TRAITOR'S WIFE,Allison Pataki,Howard Books,1476738602,9.78148E+12,Trade Fiction Paperback,3/9/2014,2,,
2946,SECOND HONEYMOON,James Patterson and Howard Roughan,Grand Central,1455515957,9.78146E+12,Trade Fiction Paperback,3/9/2014,2,,
2947,LETTING GO,Maya Banks,Berkley,042527294X,9.78043E+12,Trade Fiction Paperback,3/9/2014,3,,
2948,THE FLAMETHROWERS,Rachel Kushner,Scribner,1439142017,9.78144E+12,Trade Fiction Paperback,3/9/2014,4,,
2949,DEAR LIFE,Alice Munro,Vintage International,307743721,9.78031E+12,Trade Fiction Paperback,3/9/2014,19,,
2950,DEADLINE,Sandra Brown,Grand Central,1455549126,9.78146E+12,Trade Fiction Paperback,3/9/2014,2,,
2951,THE WOLF OF WALL STREET,Jordan Belfort,Bantam,553384775,9.78055E+12,Paperback Nonfiction,3/9/2014,11,,
2952,TO SELL IS HUMAN,Daniel H Pink,Riverhead,1594631905,9.78159E+12,Paperback Nonfiction,3/9/2014,3,,
2953,MR. WUFFLES!,David Wiesner,Clarion,618756612,9.78062E+12,Picture Books,3/9/2014,9,,
2954,"STEAM TRAIN, DREAM TRAIN",Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,1452109206,9.78145E+12,Picture Books,3/9/2014,40,,
2955,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney Publishing Worldwide,1423136802,9.78142E+12,Series Books,3/9/2014,329,,
2956,LOST LAKE,Sarah Addison Allen,St. Martin's,125001980X,9.78125E+12,Hardcover Fiction,2/9/2014,1,,
2957,THE DAYS OF ANNA MADRIGAL,Armistead Maupin,Harper,62196243,9.78006E+12,Hardcover Fiction,2/9/2014,1,,
2958,UNDER THE WIDE AND STARRY SKY,Nancy Horan,Ballantine,345516532,9.78035E+12,Hardcover Fiction,2/9/2014,1,,
2959,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,Putnam,399160477,9.7804E+12,Hardcover Fiction,2/9/2014,8,,
2960,STANDUP GUY,Stuart Woods,Putnam,399164154,9.7804E+12,Hardcover Fiction,2/9/2014,3,,
2961,THE GODS OF GUILT,Michael Connelly,"Little, Brown",316069515,9.78032E+12,Hardcover Fiction,2/9/2014,8,,
2962,DOCTOR SLEEP,Stephen King,Scribner,1476727651,9.78148E+12,Hardcover Fiction,2/9/2014,18,,
2963,CROSS MY HEART,James Patterson,"Little, Brown",316210919,9.78032E+12,Hardcover Fiction,2/9/2014,9,,
2964,HUNTING SHADOWS,Charles Todd,Morrow/HarperCollins,62237187,9.78006E+12,Hardcover Fiction,2/9/2014,1,,
2965,SAINTS OF THE SHADOW BIBLE,Ian Rankin,"Little, Brown",316224553,9.78032E+12,Hardcover Fiction,2/9/2014,0,,
2966,FEAR NOTHING,Lisa Gardner,Dutton,525953086,9.78053E+12,Hardcover Fiction,2/9/2014,0,,
2967,DARK BITES,Sherrilyn Kenyon,St. Martin's,312376863,9.78031E+12,Hardcover Fiction,2/9/2014,0,,
2968,HAZARDOUS DUTY,W E B Griffin and William E Butterworth IV,Putnam,399160671,9.7804E+12,Hardcover Fiction,2/9/2014,0,,
2969,MY AGE OF ANXIETY,Scott Stossel,Knopf,307269876,9.78031E+12,Hardcover Nonfiction,2/9/2014,3,,
2970,YOUR LIFE CALLING,Jane Pauley,Simon & Schuster,1476733767,9.78148E+12,Hardcover Nonfiction,2/9/2014,3,,
2971,THE LOUDEST VOICE IN THE ROOM,Gabriel Sherman,Random House,812992857,9.78081E+12,Hardcover Nonfiction,2/9/2014,2,,
2972,THE BULLY PULPIT,Doris Kearns Goodwin,Simon & Schuster,141654786X,9.78142E+12,Hardcover Nonfiction,2/9/2014,12,,
2973,LITTLE FAILURE,Gary Shteyngart,Random House,679643753,9.78068E+12,Hardcover Nonfiction,2/9/2014,3,,
2974,ONE SUMMER,Bill Bryson,Doubleday,767919408,9.78077E+12,Hardcover Nonfiction,2/9/2014,11,,
2975,BRAINSTORM,Daniel J Siegel,Tarcher/Penguin,158542935X,9.78159E+12,Hardcover Nonfiction,2/9/2014,0,,
2976,MY PROMISED LAND,Ari Shavit,Spiegel & Grau,385521707,9.78039E+12,Hardcover Nonfiction,2/9/2014,0,,
2977,THIS IS THE STORY OF A HAPPY MARRIAGE,Ann Patchett,Harper,62236679,9.78006E+12,Hardcover Nonfiction,2/9/2014,0,,
2978,LABOR DAY,Joyce Maynard,Morrow/HarperCollins,62313630,9.78006E+12,Trade Fiction Paperback,2/9/2014,2,,
2979,MORTAL DICTATA,Karen Traviss,Tor,765323958,9.78077E+12,Trade Fiction Paperback,2/9/2014,1,,
2980,12TH OF NEVER,James Patterson and Maxine Paetro,Grand Central,1455515795,9.78146E+12,Trade Fiction Paperback,2/9/2014,5,,
2981,TENTH OF DECEMBER,George Saunders,Random House,812984250,9.78081E+12,Trade Fiction Paperback,2/9/2014,3,,
2982,THE ORPHAN MASTER’S SON,Adam Johnson,Random House,812982622,9.78081E+12,Trade Fiction Paperback,2/9/2014,28,,
2983,THE ROUND HOUSE,Louise Erdrich,Harper Perennial,62065254,9.78006E+12,Trade Fiction Paperback,2/9/2014,14,,
2984,MY BELOVED WORLD,Sonia Sotomayor,Vintage,034580483X,9.78035E+12,Paperback Nonfiction,2/9/2014,3,,
2985,TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",316346624,9.78032E+12,Paperback Nonfiction,2/9/2014,431,,
2986,THE SECRET ROOMS,Catherine Bailey,Penguin,143124730,9.78014E+12,Paperback Nonfiction,2/9/2014,1,,
2987,I AM ABRAHAM LINCOLN,Brad Meltzer,Dial,803740832,9.7808E+12,Picture Books,2/9/2014,2,,
2988,I AM AMELIA EARHART,Brad Meltzer,Dial,803740824,9.7808E+12,Picture Books,2/9/2014,2,,
2989,I'M A FROG!,Mo Willems,Hyperion Press,1423183053,9.78142E+12,Picture Books,2/9/2014,8,,
2990,MAGIC TREE HOUSE,Mary Pope Osborne.,Stepping Stone/Random House,307980499,9.78031E+12,Series Books,2/9/2014,275,,
2991,THE LONGEST RIDE,Nicholas Sparks,Grand Central,1455520659,9.78146E+12,Hardcover Fiction,1/12/2014,15,,
2992,INFERNO,Dan Brown,Doubleday,385537859,9.78039E+12,Hardcover Fiction,1/12/2014,28,,
2993,TAKEDOWN TWENTY,Janet Evanovich,Bantam,345542886,9.78035E+12,Hardcover Fiction,1/12/2014,6,,
2994,KING AND MAXWELL,David Baldacci,Grand Central,1455521310,9.78146E+12,Hardcover Fiction,1/12/2014,6,,
2995,INNOCENCE,Dean Koontz,Bantam,553808036,9.78055E+12,Hardcover Fiction,1/12/2014,3,,
2996,AND THE MOUNTAINS ECHOED,Khaled Hosseini,Riverhead,159463176X,9.78159E+12,Hardcover Fiction,1/12/2014,24,,
2997,THE VALLEY OF AMAZEMENT,Amy Tan,Ecco/HarperCollins,62107313,9.78006E+12,Hardcover Fiction,1/12/2014,7,,
2998,THE LUMINARIES,Eleanor Catton,"Little, Brown",316074314,9.78032E+12,Hardcover Fiction,1/12/2014,5,,
2999,DUST,Patricia Cornwell,Putnam,399157573,9.7804E+12,Hardcover Fiction,1/12/2014,0,,
3000,THE CIRCLE,Dave Eggers,Knopf/McSweeney's,385351399,9.78039E+12,Hardcover Fiction,1/12/2014,0,,
3001,THE LOWLAND,Jhumpa Lahiri,Knopf,307265749,9.78031E+12,Hardcover Fiction,1/12/2014,0,,
3002,MIRACLES AND MASSACRES,Glenn Beck with Kevin Balfe and Hannah Beck,Threshold Editions/Mercury Radio Arts,1476764743,9.78148E+12,Hardcover Nonfiction,1/12/2014,6,,
3003,LET ME OFF AT THE TOP!,Ron Burgundy,Crown Archetype,804139571,9.7808E+12,Hardcover Nonfiction,1/12/2014,6,,
3004,SI-COLOGY 1,Si Robertson with Mark Schlabach,Howard Books,1476745374,9.78148E+12,Hardcover Nonfiction,1/12/2014,17,,
3005,KILLING KENNEDY,Bill O'Reilly and Martin Dugard,Holt,805096663,9.78081E+12,Hardcover Nonfiction,1/12/2014,38,,
3006,"HAPPY, HAPPY, HAPPY",Phil Robertson with Mark Schlabach,Howard Books,1476726094,9.78148E+12,Hardcover Nonfiction,1/12/2014,28,,
3007,YOU HERD ME!,Colin Cowherd,Crown Archetype,804137897,9.7808E+12,Hardcover Nonfiction,1/12/2014,0,,
3008,JOHNNY CARSON,Henry Bushkin,Eamon Dolan/Houghton Mifflin Harcourt,544217624,9.78054E+12,Hardcover Nonfiction,1/12/2014,0,,
3009,PADDLE YOUR OWN CANOE,Nick Offerman,Dutton,052595421X,9.78053E+12,Hardcover Nonfiction,1/12/2014,0,,
3010,KILLING LINCOLN,Bill O'Reilly and Martin Dugard,Holt,805093079,9.78081E+12,Hardcover Nonfiction,1/12/2014,0,,
3011,DARK WITCH,Nora Roberts,Berkley,425259854,9.78043E+12,Trade Fiction Paperback,1/12/2014,9,,
3012,THE STORYTELLER,Jodi Picoult,Emily Bestler/Atria,1439102775,9.78144E+12,Trade Fiction Paperback,1/12/2014,8,,
3013,THE RACKETEER,John Grisham,Bantam,345545338,9.78035E+12,Trade Fiction Paperback,1/12/2014,13,,
3014,THE HOUSE GIRL,Tara Conklin,Morrow/HarperCollins,62207512,9.78006E+12,Trade Fiction Paperback,1/12/2014,0,,
3015,THE CASUAL VACANCY,J K Rowling,"Back Bay/Little, Brown",316228583,9.78032E+12,Trade Fiction Paperback,1/12/2014,0,,
3016,ENDER'S GAME,Orson Scott Card,Tor Teen,765337320,9.78077E+12,Trade Fiction Paperback,1/12/2014,0,,
3017,RECONSTRUCTING AMELIA,Kimberly McCreight,Harper Perennial,62225448,9.78006E+12,Trade Fiction Paperback,1/12/2014,0,,
3018,THE DINNER,Herman Koch,Hogarth,385346859,9.78039E+12,Trade Fiction Paperback,1/12/2014,0,,
3019,LONG WALK TO FREEDOM,Nelson Mandela,"Back Bay/Little, Brown",316548189,9.78032E+12,Paperback Nonfiction,1/12/2014,4,,
3020,THE ZOMBIE SURVIVAL GUIDE,Max Brooks,Broadway,1400049628,9.7814E+12,Paperback Nonfiction,1/12/2014,92,,
3021,BOSSYPANTS,Tina Fey,"Back Bay/Little, Brown",316056871,9.78032E+12,Paperback Nonfiction,1/12/2014,0,,
3022,UNLIKELY LOVES,Jennifer Holland,Workman,761174427,9.78076E+12,Paperback Nonfiction,1/12/2014,0,,
3023,THE MONUMENTS MEN,Robert M Edsel with Bret Witter,"Little, Brown",316240052,9.78032E+12,Paperback Nonfiction,1/12/2014,0,,
3024,THOMAS JEFFERSON,Jon Meacham,Random House,812979486,9.78081E+12,Paperback Nonfiction,1/12/2014,0,,
3025,GOING CLEAR,Lawrence Wright,Vintage,307745309,9.78031E+12,Paperback Nonfiction,1/12/2014,0,,
3026,"I'D KNOW YOU ANYWHERE, MY LOVE",Nancy Tillman,Feiwel & Friends,312553684,9.78031E+12,Picture Books,1/12/2014,5,,
3027,AN OTIS CHRISTMAS,Loren Long,Philomel,399163956,9.7804E+12,Picture Books,1/12/2014,4,,
3028,PETE THE CAT AND HIS MAGIC SUNGLASSES,Kimberly and James Dean,Harper/HarperCollins,62275569,9.78006E+12,Picture Books,1/12/2014,9,,
3029,DORK DIARIES,Rachel Renée Russell,Simon & Schuster,1442449640,9.78144E+12,Series Books,1/12/2014,96,,
3030,THE ESCAPE,David Baldacci,Grand Central,1455521272,9.78146E+12,Combined Print and E-Book Fiction,12/14/2014,2,,
3031,GONE GIRL,Gillian Flynn,Crown,307588386,9.78031E+12,Combined Print and E-Book Fiction,12/14/2014,105,,
3032,GRAY MOUNTAIN,John Grisham,Doubleday,385539169,9.78039E+12,Combined Print and E-Book Fiction,12/14/2014,6,,
3033,THE BURNING ROOM,Michael Connelly,"Little, Brown",316225924,9.78032E+12,Combined Print and E-Book Fiction,12/14/2014,4,,
3034,BIG LITTLE LIES,Liane Moriarty,Amy Einhorn/Putnam,698138635,9.7807E+12,Combined Print and E-Book Fiction,12/14/2014,12,,
3035,BETRAYED,Lisa Scottoline,St. Martin's,1250027683,9.78125E+12,Combined Print and E-Book Fiction,12/14/2014,1,,
3036,DARK PLACES,Gillian Flynn,Broadway,307459926,9.78031E+12,Combined Print and E-Book Fiction,12/14/2014,6,,
3037,LEAVING TIME,Jodi Picoult,Ballantine,345544935,9.78035E+12,Combined Print and E-Book Fiction,12/14/2014,7,,
3038,NEVER JUDGE A LADY BY HER COVER,Sarah MacLean,Avon/HarperCollins,62065416,9.78006E+12,Combined Print and E-Book Fiction,12/14/2014,1,,
3039,PERSONAL,Lee Child,Delacorte,804178763,9.7808E+12,Combined Print and E-Book Fiction,12/14/2014,0,,
3040,A LAST GOODBYE,J A Jance,Pocket Star,1501103695,9.7815E+12,Combined Print and E-Book Fiction,12/14/2014,0,,
3041,BLUE LABYRINTH,Douglas Preston and Lincoln Child,Grand Central,1455525901,9.78146E+12,Combined Print and E-Book Fiction,12/14/2014,0,,
