,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
75,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,Jory John.,HarperCollins,62975676,9.78006E+12,Picture Books,4/9/2023,19,,
76,DRAGONS LOVE TACOS,Adam Rubin.,Dial,803736800,9.7808E+12,Picture Books,4/9/2023,391,,
77,HAPPY EASTER FROM THE CRAYONS,Drew Daywalt.,Philomel,593621050,9.78059E+12,Picture Books,4/9/2023,1,2,1
78,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,385376715,9.78039E+12,Picture Books,4/9/2023,345,4,10
79,THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,399255370,9.7804E+12,Picture Books,4/9/2023,353,4.5,112
80,THE BOOK WITH NO PICTURES,B.J. Novak,Dial,803741715,9.7808E+12,Picture Books,4/9/2023,179,4.5,43
81,THE SOUR GRAPE,Jory John and Pete Oswald,HarperCollins,63045419,9.78006E+12,Picture Books,4/9/2023,12,4,1
82,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896393,9.78198E+12,Series Books,4/9/2023,78,4,30
83,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,141976294X,9.78142E+12,Series Books,4/9/2023,732,,
84,THE HUNGER GAMES,Suzanne Collins,Scholastic,1338635174,9.78134E+12,Series Books,4/9/2023,268,4,7099
85,HARRY POTTER,J.K. Rowling,Scholastic,059035342X,9.78059E+12,Series Books,4/9/2023,731,2.5,2
86,SHADOW AND BONE TRILOGY,Leigh Bardugo,Square Fish,125019623X,9.78125E+12,Series Books,4/9/2023,38,4,213
87,CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,1338865390,9.78134E+12,Series Books,4/9/2023,308,,
88,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",759555400,9.78076E+12,Series Books,4/9/2023,30,4,24
89,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1484707230,9.78148E+12,Series Books,4/9/2023,666,4.5,12
90,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,1416968296,9.78142E+12,Series Books,4/9/2023,49,,
91,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,448483203,9.78045E+12,Series Books,4/9/2023,137,,
92,FIVE SURVIVE,Holly Jackson,Delacorte,593374169,9.78059E+12,Young Adult Hardcover,4/9/2023,17,4,6
