Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
"BRAVA, STREGA NONA!",Tomie dePaola,Putnam,Penguin Random House,9.7804E+12,Picture Books,1/18/09,7
THE TWILIGHT SAGA,Stephenie Meyer,"Megan Tingley/Little, Brown",Hachette Book,9.78032E+12,Series Books,1/18/09,74
HARRY POTTER,J.K. Rowling,"Arthur A. Levine/Scholastic, hardcover and paper",,9.78059E+12,Series Books,1/18/09,205
HOUSE OF NIGHT,PC Cast and Kristin Cast,"St. Martin’s, paper only",,9.78031E+12,Series Books,1/18/09,19
INHERITANCE,Christopher Paolini,"Knopf, hardcover and paper",,9.78044E+12,Series Books,1/18/09,16
INKHEART,Cornelia Funke,"Scholastic, hardcover and paper",,9.78044E+12,Series Books,1/18/09,15
NIGHT WORLD,L J Smith,Simon Pulse,,9.78142E+12,Series Books,1/18/09,5
VAMPIRE ACADEMY,Richelle Mead,Razorbill,Penguin Random House,9.7816E+12,Series Books,1/18/09,4
BLUE BLOODS,Melissa de la Cruz,"Hyperion, hardcover and paper",,9.78142E+12,Series Books,1/18/09,4
VAMPIRE DIARIES,L J Smith,HarperTeen,HarperCollins,9.78006E+12,Series Books,1/18/09,2
WARRIORS,Erin Hunter,HarperCollins,HarperCollins,9.78006E+12,Series Books,1/18/09,68
THE LAST SONG,Nicholas Sparks,Grand Central,Grand Central,9.78045E+12,Hardcover Fiction,9/27/09,1
SOUTH OF BROAD,Pat Conroy,Nan A. Talese/Doubleday,Penguin Random House,9.78039E+12,Hardcover Fiction,9/27/09,5
THE HELP,Kathryn Stockett,Amy Einhorn/Putnam,Penhuin Random House,9.7804E+12,Hardcover Fiction,9/27/09,24
ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,"Little, Brown",Hachette Book,9.78032E+12,Hardcover Fiction,9/27/09,3
SPARTAN GOLD,Clive Cussler with Grant Blackwood,Putnam,Penguin Random House,9.7804E+12,Hardcover Fiction,9/27/09,2
DARK SLAYER,Christine Feehan,Berkley,Penguin Random House,9.78043E+12,Hardcover Fiction,9/27/09,2
THE WHITE QUEEN,Philippa Gregory,Touchstone/Simon & Schuster,,9.78142E+12,Hardcover Fiction,9/27/09,4
DEXTER BY DESIGN,Jeff Lindsay,Doubleday,Penguin Random House,9.78039E+12,Hardcover Fiction,9/27/09,1
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf,Penguin Random House,9.78031E+12,Hardcover Fiction,9/27/09,7
DEAD AND GONE,Charlaine Harris,Ace,Penguin Random House,9.78044E+12,Hardcover Fiction,9/27/09,19
A GATE AT THE STAIRS,Lorrie Moore,Knopf,Penguin Random House,9.78038E+12,Hardcover Fiction,9/27/09,2
206 BONES,Kathy Reichs,Scribner,Simon & Schuster,9.78144E+12,Hardcover Fiction,9/27/09,3
HOMER & LANGLEY,E L Doctorow,Random House,Penguin Random House,9.7814E+12,Hardcover Fiction,9/27/09,2
THE ELEVENTH VICTIM,Nancy Grace,Hyperion,Disney Publishing Worldwide,9.7814E+12,Hardcover Fiction,9/27/09,5
THAT OLD CAPE MAGIC,Richard Russo,Knopf,Penguin Random House,9.78038E+12,Hardcover Fiction,9/27/09,6
THE GOLDEN CITY,John Twelve Hawks,Doubleday,Penguin Random House,9.78039E+12,Hardcover Fiction,9/27/09,0
THE HOST,Stephenie Meyer,"Little, Brown",Hachette Book,9.78032E+12,Hardcover Fiction,9/27/09,0
THE SPIRE,Richard North Patterson,Holt,Macmillan Publishers,9.78081E+12,Hardcover Fiction,9/27/09,0
DAY AFTER NIGHT,Anita Diamant,Scribner,Simon & Schuster,9.78074E+12,Hardcover Fiction,9/27/09,0
EVEN MONEY,Dick Francis and Felix Francis,Putnam,Penguin Random House,9.7804E+12,Hardcover Fiction,9/27/09,0
OFFICIAL BOOK CLUB SELECTION,Kathy Griffin,Ballantine,Penguin Random House,9.78035E+12,Hardcover Nonfiction,9/27/09,1
CULTURE OF CORRUPTION,Michelle Malkin,Regnery,Regnery Publishing,9.7816E+12,Hardcover Nonfiction,9/27/09,7
OUTLIERS,Malcolm Gladwell,"Little, Brown",Hachette Book,9.78032E+12,Hardcover Nonfiction,9/27/09,43
IN THE PRESIDENT’S SECRET SERVICE,Ronald Kessler,Crown,Penguin Random House,9.78031E+12,Hardcover Nonfiction,9/27/09,6
LIBERTY AND TYRANNY,Mark R Levin,Threshold Editions,Simon & Schuster,9.78142E+12,Hardcover Nonfiction,9/27/09,25
STRENGTH IN WHAT REMAINS,Tracy Kidder,"Random House,",,9.7814E+12,Hardcover Nonfiction,9/27/09,3
BORN TO RUN,Christopher McDougall,Knopf,Penguin Random House,9.78031E+12,Hardcover Nonfiction,9/27/09,13
A BOLD FRESH PIECE OF HUMANITY,Bill O’Reilly,Broadway,Penguin Random House,9.78077E+12,Hardcover Nonfiction,9/27/09,46
HALF THE SKY,Nicholas D Kristof and Sheryl WuDunn,Knopf,Penguin Random House,9.78031E+12,Hardcover Nonfiction,9/27/09,1
TRAVELING WITH POMEGRANATES,Sue Monk Kidd and Ann Kidd Taylor,Viking,Penguin Random House,9.78067E+12,Hardcover Nonfiction,9/27/09,1
THE HEALING OF AMERICA,T R Reid,Penguin Press,Penguin Random House,9.78159E+12,Hardcover Nonfiction,9/27/09,3
NURTURESHOCK,Po Bronson and Ashley Merryman,Twelve,Hachette Book,9.78045E+12,Hardcover Nonfiction,9/27/09,2
SHOOTING STARS,LeBron James and Buzz Bissinger,Penguin Press,Penguin Random House,9.78159E+12,Hardcover Nonfiction,9/27/09,1
